feature,importance_mean,importance_std
rolling_avg_R_100,0.006976769227985691,0.0009561433752889135
rolling_avg_R_50,0.005582658989303551,0.0030302128520326727
rolling_sell_avg_R_50,0.0053429562172509605,0.0014906291901021016
rolling_drawdown_50,0.004443055542652508,0.0034727211758018204
rolling_unfavorable_rate_50,0.0027797873773864447,0.0005328589574335518
rolling_drawdown_100,0.0022480321773559854,0.0012241207401196218
rolling_win_rate_50,0.0017334207222162723,0.0016401966364793074
predicted_direction,0.001438590767996062,0.001043135128663941
rolling_pf_100,0.0010109992000030376,0.0005595800254313501
recent_sell_loss_streak,0.0009986980396758604,0.001916131956754122
recent_loss_streak,0.0003974331728430314,0.0010843803948052614
daily_range_position,-0.00010387641694996619,0.0039903357020386965
rolling_win_rate_100,-0.00017067753649691042,0.0006917188321010091
rolling_sell_avg_R_20,-0.0006378383332541482,0.0009030353799995474
rolling_pf_50,-0.0022685514593460466,0.0008683568014732812
rolling_avg_R_20,-0.002759525631461518,0.002442099554458182
rolling_sell_pf_50,-0.0028891939313846426,0.0014968514868444127
rolling_sell_pf_20,-0.002925990392223482,0.0008784033908154968
rolling_pf_20,-0.0029939542613567514,0.0025521146805869946
rolling_sell_avg_R_100,-0.0038862897462100922,0.0016639619158606044
rolling_win_rate_20,-0.004377341082592107,0.0009874751533509867
rolling_unfavorable_rate_100,-0.0077327359455013735,0.0014647617694769017
rolling_sell_pf_100,-0.008811469646992847,0.001669725258626665
