month,entry_time,exit_time,symbol,direction,entry_price,result,realized_R,net_pips,gross_pips,duration_minutes,duration,aggression_mode,score,reason_code,gaspar_p_deteriorating,melchor_signal,decision_id,split
2020-03,2020-03-10T18:45:00Z,2020-03-10T18:55:00Z,EURUSD,SELL,1.13204,WIN,1.677774,16.77774,20.0,10.0,10m,cautious,0.283024,score_cautious,0.207801,APPROVE,EURUSD-2020-03-10T18:45:00Z-000127,train
2020-03,2020-03-10T19:05:00Z,2020-03-10T20:10:00Z,EURUSD,BUY,1.13095,WIN,1.720868,17.20868,20.0,65.0,1h 05m,normal,0.309965,score_normal,0.208981,APPROVE,EURUSD-2020-03-10T19:05:00Z-000129,train
2020-03,2020-03-10T21:00:00Z,2020-03-10T21:25:00Z,EURUSD,SELL,1.1295,WIN,1.732383,17.32383,20.0,25.0,25m,premium,0.429726,score_premium,0.147532,APPROVE,EURUSD-2020-03-10T21:00:00Z-000130,train
2020-03,2020-03-10T21:30:00Z,2020-03-10T22:15:00Z,EURUSD,SELL,1.12968,LOSS,-1.352918,-13.52918,-10.0,45.0,45m,cautious,0.242444,score_cautious,0.130071,APPROVE,EURUSD-2020-03-10T21:30:00Z-000131,train
2020-03,2020-03-11T08:20:00Z,2020-03-11T09:20:00Z,EURUSD,SELL,1.13566,WIN,1.554855,15.54855,20.0,60.0,1h 00m,premium,0.677736,score_premium,0.08719,APPROVE,EURUSD-2020-03-11T08:20:00Z-000136,train
2020-03,2020-03-11T09:20:00Z,2020-03-11T10:05:00Z,EURUSD,SELL,1.13461,WIN,1.730598,17.30598,20.0,45.0,45m,premium,0.645862,score_premium,0.047466,APPROVE,EURUSD-2020-03-11T09:20:00Z-000137,train
2020-03,2020-03-11T10:05:00Z,2020-03-11T11:45:00Z,EURUSD,SELL,1.13285,WIN,1.553643,15.53643,20.0,100.0,1h 40m,premium,0.60443,score_premium,0.062149,APPROVE,EURUSD-2020-03-11T10:05:00Z-000138,train
2020-03,2020-03-11T11:45:00Z,2020-03-11T12:15:00Z,EURUSD,SELL,1.13068,LOSS,-1.310229,-13.10229,-10.0,30.0,30m,cautious,0.228583,score_cautious,0.032558,APPROVE,EURUSD-2020-03-11T11:45:00Z-000139,train
2020-03,2020-03-11T12:15:00Z,2020-03-11T13:30:00Z,EURUSD,BUY,1.13175,WIN,1.692957,16.92957,20.0,75.0,1h 15m,premium,0.474248,score_premium,0.025472,APPROVE,EURUSD-2020-03-11T12:15:00Z-000140,train
2020-03,2020-03-11T14:00:00Z,2020-03-11T14:30:00Z,EURUSD,BUY,1.13288,WIN,1.630152,16.30152,20.0,30.0,30m,premium,0.548073,score_premium,0.044554,APPROVE,EURUSD-2020-03-11T14:00:00Z-000141,train
2020-03,2020-03-11T14:30:00Z,2020-03-11T16:10:00Z,EURUSD,SELL,1.13476,WIN,1.79618,17.9618,20.0,100.0,1h 40m,premium,0.570517,score_premium,0.035742,APPROVE,EURUSD-2020-03-11T14:30:00Z-000142,train
2020-03,2020-03-11T17:00:00Z,2020-03-11T17:15:00Z,EURUSD,SELL,1.13071,WIN,1.644013,16.44013,20.0,15.0,15m,premium,0.527432,score_premium,0.077884,APPROVE,EURUSD-2020-03-11T17:00:00Z-000143,train
2020-03,2020-03-11T17:15:00Z,2020-03-11T17:40:00Z,EURUSD,SELL,1.12831,WIN,1.816658,18.16658,20.0,25.0,25m,premium,0.51123,score_premium,0.080957,APPROVE,EURUSD-2020-03-11T17:15:00Z-000144,train
2020-03,2020-03-11T17:40:00Z,2020-03-11T18:00:00Z,EURUSD,SELL,1.12641,LOSS,-1.320928,-13.20928,-10.0,20.0,20m,normal,0.327304,score_normal,0.112402,APPROVE,EURUSD-2020-03-11T17:40:00Z-000145,train
2020-03,2020-03-11T18:00:00Z,2020-03-11T22:00:00Z,EURUSD,SELL,1.128,WIN,0.492302,4.92302,7.4,240.0,4h 00m,premium,0.47099,score_premium,0.167432,APPROVE,EURUSD-2020-03-11T18:00:00Z-000146,train
2020-03,2020-03-12T09:45:00Z,2020-03-12T10:10:00Z,EURUSD,SELL,1.13183,WIN,1.733314,17.33314,20.0,25.0,25m,premium,0.423354,score_premium,0.328214,APPROVE,EURUSD-2020-03-12T09:45:00Z-000156,train
2020-03,2020-03-12T10:10:00Z,2020-03-12T10:20:00Z,EURUSD,SELL,1.13018,LOSS,-1.373234,-13.73234,-10.0,10.0,10m,normal,0.311691,score_normal,0.185148,APPROVE,EURUSD-2020-03-12T10:10:00Z-000157,train
2020-03,2020-03-12T10:20:00Z,2020-03-12T10:25:00Z,EURUSD,SELL,1.12969,WIN,1.761248,17.61248,20.0,5.0,5m,premium,0.564738,score_premium,0.106676,APPROVE,EURUSD-2020-03-12T10:20:00Z-000158,train
2020-03,2020-03-12T10:25:00Z,2020-03-12T11:10:00Z,EURUSD,SELL,1.12673,LOSS,-1.324528,-13.24528,-10.0,45.0,45m,normal,0.328556,score_normal,0.122876,APPROVE,EURUSD-2020-03-12T10:25:00Z-000159,train
2020-03,2020-03-12T11:10:00Z,2020-03-12T11:50:00Z,EURUSD,SELL,1.1272,WIN,1.671534,16.71534,20.0,40.0,40m,premium,0.563017,score_premium,0.057148,APPROVE,EURUSD-2020-03-12T11:10:00Z-000160,train
2020-03,2020-03-12T11:50:00Z,2020-03-12T12:15:00Z,EURUSD,SELL,1.12489,WIN,1.744036,17.44036,20.0,25.0,25m,premium,0.555334,score_premium,0.085011,APPROVE,EURUSD-2020-03-12T11:50:00Z-000161,train
2020-03,2020-03-12T12:15:00Z,2020-03-12T12:40:00Z,EURUSD,SELL,1.12286,LOSS,-1.239618,-12.39618,-10.0,25.0,25m,cautious,0.269654,score_cautious,0.112012,APPROVE,EURUSD-2020-03-12T12:15:00Z-000162,train
2020-03,2020-03-12T12:40:00Z,2020-03-12T13:25:00Z,EURUSD,SELL,1.12422,WIN,1.756605,17.56605,20.0,45.0,45m,premium,0.552527,score_premium,0.059172,APPROVE,EURUSD-2020-03-12T12:40:00Z-000163,train
2020-03,2020-03-12T14:00:00Z,2020-03-12T14:05:00Z,EURUSD,SELL,1.12371,LOSS,-1.279869,-12.79869,-10.0,5.0,5m,normal,0.321973,score_normal,0.075071,APPROVE,EURUSD-2020-03-12T14:00:00Z-000164,train
