schema_version,decision_id,timestamp,exit_timestamp,symbol,split,action,aggression_mode,base_aggression_mode,direction,entry_price,stop_loss,take_profit,score,baltasar_signal,baltasar_confidence,gaspar_signal,gaspar_p_deteriorating,gaspar_high_deterioration,gaspar_downgraded,melchor_signal,melchor_risk_flags,context_quality_rr2,reason_code,risk_notes,realized_R,hypothetical_adjusted_R,gross_r,spread_r,commission_r,slippage_r,is_2026q2,source_strategy,policy,score_formula,min_operational_score
ceo_magi_v3.entry_decision.v1,EURUSD-2023-12-12T10:05:00Z-005134,2023-12-12T10:05:00Z,2023-12-12T12:00:00Z,EURUSD,train,ENTER,normal,normal,BUY,1.07774,1.07674,1.07974,0.371722,ENTER_BUY,0.352971,ALLOW,0.374732,False,False,APPROVE,LOW,FAVORABLE,score_normal,Score accepted in normal band.,1.744388,1.744388,2.0,0.08,0.07,0.105612,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2023-12-12T12:35:00Z-005135,2023-12-12T12:35:00Z,2023-12-12T15:35:00Z,EURUSD,train,ENTER,cautious,cautious,SELL,1.08064,1.08164,1.07864,0.260236,ENTER_SELL,0.370314,ALLOW,0.309436,False,False,APPROVE,LOW,NEUTRAL,score_cautious,Score accepted in cautious band.,-1.369819,-1.369819,-1.0,0.08,0.07,0.219819,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2023-12-12T17:05:00Z-005136,2023-12-12T17:05:00Z,2023-12-12T20:05:00Z,EURUSD,train,ENTER,cautious,cautious,BUY,1.07761,1.07661,1.07961,0.236856,ENTER_BUY,0.394773,ALLOW,0.098208,False,False,APPROVE,LOW,FAVORABLE,score_cautious,Score accepted in cautious band.,1.586075,1.586075,2.0,0.08,0.07,0.263925,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2023-12-13T08:25:00Z-005137,2023-12-13T08:25:00Z,2023-12-13T12:25:00Z,EURUSD,train,DO_NOTHING,none,none,,,,,-0.257418,ENTER_BUY,0.382847,ALLOW,0.428912,False,False,APPROVE,LOW,UNFAVORABLE,score_below_0_20,Score below validated operational threshold.,,-0.819492,-0.57,0.02,0.07,0.159492,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2023-12-13T12:45:00Z-005138,2023-12-13T12:45:00Z,2023-12-13T15:35:00Z,EURUSD,train,DO_NOTHING,none,none,,,,,0.076882,ENTER_BUY,0.382576,ALLOW,0.191039,False,False,APPROVE,LOW,FAVORABLE,score_below_0_20,Score below validated operational threshold.,,1.721674,2.0,0.02,0.07,0.188326,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2023-12-13T17:00:00Z-005139,2023-12-13T17:00:00Z,2023-12-13T20:10:00Z,EURUSD,train,DO_NOTHING,none,none,,,,,0.119844,ENTER_BUY,0.348804,ALLOW,0.206213,False,False,APPROVE,LOW,UNFAVORABLE,score_below_0_20,Score below validated operational threshold.,,-1.250498,-1.0,0.02,0.07,0.160498,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2023-12-13T21:15:00Z-005140,2023-12-13T21:15:00Z,2023-12-13T21:25:00Z,EURUSD,train,ENTER,normal,normal,BUY,1.08502,1.08402,1.08702,0.398041,ENTER_BUY,0.368123,ALLOW,0.149043,False,False,APPROVE,LOW,FAVORABLE,score_normal,Score accepted in normal band.,1.668819,1.668819,2.0,0.02,0.07,0.241181,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2023-12-13T21:25:00Z-005141,2023-12-13T21:25:00Z,2023-12-13T21:45:00Z,EURUSD,train,ENTER,normal,normal,BUY,1.08622,1.08522,1.08822,0.347323,ENTER_BUY,0.400025,ALLOW,0.253869,False,False,APPROVE,LOW,FAVORABLE,score_normal,Score accepted in normal band.,1.643078,1.643078,2.0,0.02,0.07,0.266922,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2023-12-13T21:45:00Z-005142,2023-12-13T21:45:00Z,2023-12-13T22:30:00Z,EURUSD,train,DO_NOTHING,none,none,,,,,0.198865,ENTER_BUY,0.438683,ALLOW,0.251356,False,False,APPROVE,LOW,UNFAVORABLE,score_below_0_20,Score below validated operational threshold.,,-1.213235,-1.0,0.02,0.07,0.123235,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2023-12-14T00:00:00Z-005143,2023-12-14T00:00:00Z,2023-12-14T02:35:00Z,EURUSD,train,DO_NOTHING,none,none,,,,,-0.210261,ENTER_BUY,0.382826,ALLOW,0.425583,False,False,BLOCK,HIGH,FAVORABLE,melchor_block,Melchor BLOCK: hard veto.,,1.57909,2.0,0.15,0.07,0.20091,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2023-12-14T02:35:00Z-005144,2023-12-14T02:35:00Z,2023-12-14T05:45:00Z,EURUSD,train,DO_NOTHING,none,none,,,,,-0.092212,ENTER_BUY,0.414512,ALLOW,0.366299,False,False,BLOCK,HIGH,FAVORABLE,melchor_block,Melchor BLOCK: hard veto.,,1.714637,2.0,0.07,0.07,0.145363,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2023-12-14T06:00:00Z-005145,2023-12-14T06:00:00Z,2023-12-14T09:40:00Z,EURUSD,train,DO_NOTHING,none,none,,,,,-0.025026,ENTER_SELL,0.373626,ALLOW,0.262203,False,False,BLOCK,HIGH,FAVORABLE,melchor_block,Melchor BLOCK: hard veto.,,1.72745,2.0,0.01,0.07,0.19255,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2023-12-14T09:40:00Z-005146,2023-12-14T09:40:00Z,2023-12-14T11:05:00Z,EURUSD,train,DO_NOTHING,none,none,,,,,0.050701,ENTER_BUY,0.415232,ALLOW,0.065355,False,False,APPROVE,LOW,FAVORABLE,score_below_0_20,Score below validated operational threshold.,,1.817228,2.0,0.01,0.07,0.102772,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2023-12-14T11:05:00Z-005147,2023-12-14T11:05:00Z,2023-12-14T12:05:00Z,EURUSD,train,DO_NOTHING,none,none,,,,,-0.175374,ENTER_BUY,0.401913,ALLOW,0.052382,False,False,APPROVE,LOW,UNFAVORABLE,score_below_0_20,Score below validated operational threshold.,,-1.340113,-1.0,0.01,0.07,0.260113,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2023-12-14T12:05:00Z-005148,2023-12-14T12:05:00Z,2023-12-14T13:20:00Z,EURUSD,train,DO_NOTHING,none,none,,,,,0.123554,ENTER_BUY,0.400645,ALLOW,0.257223,False,False,APPROVE,LOW,FAVORABLE,score_below_0_20,Score below validated operational threshold.,,1.651914,2.0,0.01,0.07,0.268086,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2023-12-14T14:00:00Z-005149,2023-12-14T14:00:00Z,2023-12-14T15:15:00Z,EURUSD,train,ENTER,normal,normal,SELL,1.09298,1.09398,1.09098,0.369938,ENTER_SELL,0.382881,ALLOW,0.233257,False,False,APPROVE,LOW,FAVORABLE,score_normal,Score accepted in normal band.,1.726687,1.726687,2.0,0.01,0.07,0.193313,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2023-12-14T17:35:00Z-005150,2023-12-14T17:35:00Z,2023-12-14T17:50:00Z,EURUSD,train,DO_NOTHING,none,none,,,,,0.147472,ENTER_SELL,0.424338,ALLOW,0.427821,False,False,APPROVE,LOW,UNFAVORABLE,score_below_0_20,Score below validated operational threshold.,,-1.273517,-1.0,0.01,0.07,0.193517,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2023-12-15T10:20:00Z-005151,2023-12-15T10:20:00Z,2023-12-15T10:35:00Z,EURUSD,train,ENTER,premium,premium,SELL,1.09702,1.09802,1.09502,0.470709,ENTER_SELL,0.392401,ALLOW,0.236923,False,False,APPROVE,LOW,FAVORABLE,score_premium,Score accepted in premium band.,1.60971,1.60971,2.0,0.08,0.07,0.24029,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2023-12-15T10:35:00Z-005152,2023-12-15T10:35:00Z,2023-12-15T13:45:00Z,EURUSD,train,ENTER,cautious,cautious,SELL,1.09584,1.09684,1.09384,0.263029,ENTER_SELL,0.37689,ALLOW,0.199815,False,False,APPROVE,LOW,UNFAVORABLE,score_cautious,Score accepted in cautious band.,-1.295548,-1.295548,-1.0,0.08,0.07,0.145548,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2023-12-15T14:00:00Z-005153,2023-12-15T14:00:00Z,2023-12-15T14:55:00Z,EURUSD,train,ENTER,premium,premium,SELL,1.09685,1.09785,1.09485,0.485171,ENTER_SELL,0.397965,ALLOW,0.091725,False,False,APPROVE,LOW,FAVORABLE,score_premium,Score accepted in premium band.,1.702298,1.702298,2.0,0.08,0.07,0.147702,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2023-12-15T14:55:00Z-005154,2023-12-15T14:55:00Z,2023-12-15T15:35:00Z,EURUSD,train,ENTER,premium,premium,SELL,1.09467,1.09567,1.09267,0.530694,ENTER_SELL,0.428825,ALLOW,0.072174,False,False,APPROVE,LOW,FAVORABLE,score_premium,Score accepted in premium band.,1.725981,1.725981,2.0,0.08,0.07,0.124019,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2023-12-15T17:00:00Z-005155,2023-12-15T17:00:00Z,2023-12-15T20:20:00Z,EURUSD,train,ENTER,premium,premium,SELL,1.09199,1.09299,1.08999,0.538895,ENTER_SELL,0.45157,ALLOW,0.091567,False,False,APPROVE,LOW,FAVORABLE,score_premium,Score accepted in premium band.,1.620325,1.620325,2.0,0.08,0.07,0.229675,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2023-12-15T21:00:00Z-005156,2023-12-15T21:00:00Z,2023-12-16T00:05:00Z,EURUSD,train,ENTER,premium,premium,BUY,1.08936,1.08836,1.09136,0.464009,ENTER_BUY,0.431053,ALLOW,0.273392,False,False,APPROVE,LOW,FAVORABLE,score_premium,Score accepted in premium band.,1.684633,1.684633,2.0,0.01,0.07,0.235367,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2023-12-19T06:00:00Z-005157,2023-12-19T06:00:00Z,2023-12-19T10:00:00Z,EURUSD,train,DO_NOTHING,none,none,,,,,-0.011055,ENTER_BUY,0.417843,ALLOW,0.278531,False,False,BLOCK,HIGH,FAVORABLE,melchor_block,Melchor BLOCK: hard veto.,,0.065997,0.29,0.01,0.07,0.144003,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2023-12-19T10:00:00Z-005158,2023-12-19T10:00:00Z,2023-12-19T11:20:00Z,EURUSD,train,ENTER,premium,premium,BUY,1.09285,1.09185,1.09485,0.514829,ENTER_BUY,0.35355,ALLOW,0.102962,False,False,APPROVE,LOW,FAVORABLE,score_premium,Score accepted in premium band.,1.714878,1.714878,2.0,0.01,0.07,0.205122,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
ceo_magi_v3.entry_decision.v1,EURUSD-2023-12-19T11:20:00Z-005159,2023-12-19T11:20:00Z,2023-12-19T12:05:00Z,EURUSD,train,ENTER,cautious,cautious,BUY,1.09466,1.09366,1.09666,0.255311,ENTER_BUY,0.390021,ALLOW,0.166281,False,False,APPROVE,LOW,UNFAVORABLE,score_cautious,Score accepted in cautious band.,-1.276213,-1.276213,-1.0,0.01,0.07,0.196213,False,A_base_scenario_c,CEO-MAGI v3,unchanged_online_priority_score,0.2
