group,scenario,operations,blocked,tp,sl,be,win_rate,profit_factor,net_r,avg_r,max_drawdown_r,worst_loss_streak,best_win_streak,clusters_detected,clusters_blocked,saved_sl,sacrificed_tp,net_delta_vs_baseline_r,months_improved,months_worsened,be_simulation_status,news_guardrail_status,lot_0_6_net_usd,lot_0_6_violated_daily,lot_0_6_violated_total,lot_0_6_passed_phase1,lot_0_6_passed_phase2,lot_0_6_worst_day,lot_0_6_worst_day_pnl,lot_0_6_worst_month,lot_0_6_worst_month_pnl,lot_0_6_daily_margin_usd,lot_0_6_total_margin_usd,lot_1_0_net_usd,lot_1_0_violated_daily,lot_1_0_violated_total,lot_1_0_passed_phase1,lot_1_0_passed_phase2,lot_1_0_worst_day,lot_1_0_worst_day_pnl,lot_1_0_worst_month,lot_1_0_worst_month_pnl,lot_1_0_daily_margin_usd,lot_1_0_total_margin_usd
random_5_nonconsecutive,baseline,248,0,180,68,0,0.725806,3.833393,206.563456,0.832917,4.949009,3,14,139,0,0,0,0.0,0,0,not_simulated_no_mfe,placeholder_no_calendar,12393.81,False,False,True,True,2024-06-13,-159.77,2024-06,483.95,3840.23,7897.04,20656.35,False,False,True,True,2024-06-13,-266.28,2024-06,806.59,3733.72,7828.4
random_5_nonconsecutive,guardrails_v1_friday_sl1,225,23,164,61,0,0.728889,3.826586,186.161031,0.827382,4.182031,3,14,141,18,7,16,-20.402425,1,3,not_simulated_no_mfe,placeholder_no_calendar,11169.66,False,False,True,True,2024-06-13,-159.77,2024-06,483.95,3840.23,7897.04,18616.1,False,False,True,True,2024-06-13,-266.28,2024-06,806.59,3733.72,7828.4
random_5_nonconsecutive,guardrails_v1_friday_sl2,225,23,164,61,0,0.728889,3.826586,186.161031,0.827382,4.182031,3,14,141,18,7,16,-20.402425,1,3,not_simulated_no_mfe,placeholder_no_calendar,11169.66,False,False,True,True,2024-06-13,-159.77,2024-06,483.95,3840.23,7897.04,18616.1,False,False,True,True,2024-06-13,-266.28,2024-06,806.59,3733.72,7828.4
random_5_nonconsecutive,cluster_only_2sl,240,8,175,65,0,0.729167,3.91997,201.696276,0.840401,4.182031,3,14,139,4,3,5,-4.86718,0,2,not_simulated_no_mfe,placeholder_no_calendar,12101.78,False,False,True,True,2024-06-13,-159.77,2024-06,483.95,3840.23,7897.04,20169.63,False,False,True,True,2024-06-13,-266.28,2024-06,806.59,3733.72,7828.4
random_5_nonconsecutive,cluster_only_3sl,245,3,178,67,0,0.726531,3.848212,204.210381,0.833512,5.529876,4,14,139,2,1,2,-2.353075,0,1,not_simulated_no_mfe,placeholder_no_calendar,12252.62,False,False,True,True,2024-06-13,-159.77,2024-06,483.95,3840.23,7897.04,20421.04,False,False,True,True,2024-06-13,-266.28,2024-06,806.59,3733.72,7828.4
random_5_nonconsecutive,friday_only_sl1,233,15,169,64,0,0.725322,3.741146,191.028211,0.819864,4.949009,3,14,141,14,4,11,-15.535245,1,3,not_simulated_no_mfe,placeholder_no_calendar,11461.69,False,False,True,True,2024-06-13,-159.77,2024-06,483.95,3840.23,7897.04,19102.82,False,False,True,True,2024-06-13,-266.28,2024-06,806.59,3733.72,7828.4
random_5_nonconsecutive,friday_only_sl2,233,15,169,64,0,0.725322,3.741146,191.028211,0.819864,4.949009,3,14,141,14,4,11,-15.535245,1,3,not_simulated_no_mfe,placeholder_no_calendar,11461.69,False,False,True,True,2024-06-13,-159.77,2024-06,483.95,3840.23,7897.04,19102.82,False,False,True,True,2024-06-13,-266.28,2024-06,806.59,3733.72,7828.4
