scenario,initial_balance,final_balance,total_gain_usd,return_pct,max_balance,min_balance,worst_day,worst_day_usd,best_day,best_day_usd,max_drawdown_usd,max_drawdown_pct,max_drawdown_date,worst_loss_streak,best_win_streak,operations,tp,sl,win_rate,profit_factor,violated_daily,daily_violation_date,violated_total,total_violation_date,comment
baseline,100000.0,342022.95,242022.95,242.02,348836.42,100000.0,2025-07-16,-6115.13,2025-04-04,23078.13,13687.17,13.69,2025-07-16,5,25,180,126,54,0.7,2.9797,True,2025-01-16,False,,suicida para fondeo: viola limite diario
cluster_only_3sl,100000.0,337302.77,237302.77,237.3,344116.25,100000.0,2025-07-16,-7671.66,2025-04-04,23078.13,8270.47,8.27,2025-07-16,3,25,173,122,51,0.7052,3.0801,True,2025-01-16,False,,suicida para fondeo: viola limite diario
