dataset,scenario,trades,tp,sl,be,win_rate,profit_factor,net,avg_r_or_pnl,max_drawdown,worst_loss_streak,best_win_streak,trades_removed,tp_removed,sl_removed,be_removed,removed_net,net_delta_vs_baseline,dd_delta_vs_baseline
artifacts/magi_realistic_scenario_c/scenario_c_realistic_trades.csv,Friday Rule A - no opens after 12:00 Colombia,5866,3526,2338,0,0.6013,2.8662,4207.14,0.717208,9.0,9,13,673,396,277,0,462.79,-462.79,0.0
artifacts/magi_realistic_scenario_c/scenario_c_realistic_trades.csv,Friday Rule B - no opens after 10:00 Colombia,5866,3526,2338,0,0.6013,2.8662,4207.14,0.717208,9.0,9,13,673,396,277,0,462.79,-462.79,0.0
artifacts/magi_realistic_scenario_c/scenario_c_realistic_trades.csv,Friday Rule C - max 1 trade per session,5621,3384,2235,0,0.6022,2.8698,4018.24,0.714862,10.03,9,13,918,538,380,0,651.69,-651.69,1.03
artifacts/magi_realistic_scenario_c/scenario_c_realistic_trades.csv,Friday Rule D - after 1 SL safe until Monday,5498,3307,2189,0,0.6017,2.8593,3912.36,0.711597,9.0,9,14,1041,615,426,0,757.57,-757.57,0.0
artifacts/magi_realistic_scenario_c/scenario_c_realistic_trades.csv,Friday Rule E - after 2 SL safe until Monday,5867,3543,2322,0,0.6041,2.8953,4232.71,0.721444,9.0,9,14,672,379,293,0,437.22,-437.22,0.0
artifacts/magi_realistic_scenario_c/scenario_c_realistic_trades.csv,"Friday Rule F - late only manage, no new opens",5866,3526,2338,0,0.6013,2.8662,4207.14,0.717208,9.0,9,13,673,396,277,0,462.79,-462.79,0.0
data/output/magi_v2/baltasar_v2_rich_features_model/policy_medium_r_simulation/simulated_trades_050.csv,Baseline,4907,2117,2787,3,0.4317,1.3496,929.04,0.18933,134.09,78,55,0,0,0,0,0,0.0,0.0
data/output/magi_v2/baltasar_v2_rich_features_model/policy_medium_r_simulation/simulated_trades_050.csv,Friday Rule A - no opens after 12:00 Colombia,4523,1931,2589,3,0.4272,1.3158,778.44,0.172107,119.09,78,55,384,186,198,0,150.6,-150.6,-15.0
data/output/magi_v2/baltasar_v2_rich_features_model/policy_medium_r_simulation/simulated_trades_050.csv,Friday Rule B - no opens after 10:00 Colombia,4523,1931,2589,3,0.4272,1.3158,778.44,0.172107,119.09,78,55,384,186,198,0,150.6,-150.6,-15.0
data/output/magi_v2/baltasar_v2_rich_features_model/policy_medium_r_simulation/simulated_trades_050.csv,Friday Rule C - max 1 trade per session,3652,1613,2036,3,0.442,1.3831,744.06,0.20374,83.88,64,42,1255,504,751,0,184.98,-184.98,-50.21
data/output/magi_v2/baltasar_v2_rich_features_model/policy_medium_r_simulation/simulated_trades_050.csv,Friday Rule D - after 1 SL safe until Monday,3864,1839,2022,3,0.4763,1.6078,1170.03,0.302803,77.88,63,55,1043,278,765,0,-240.99,240.99,-56.21
data/output/magi_v2/baltasar_v2_rich_features_model/policy_medium_r_simulation/simulated_trades_050.csv,Friday Rule E - after 2 SL safe until Monday,3937,1862,2072,3,0.4733,1.5917,1165.64,0.296073,80.88,65,55,970,255,715,0,-236.6,236.6,-53.21
data/output/magi_v2/baltasar_v2_rich_features_model/policy_medium_r_simulation/simulated_trades_050.csv,"Friday Rule F - late only manage, no new opens",4523,1931,2589,3,0.4272,1.3158,778.44,0.172107,119.09,78,55,384,186,198,0,150.6,-150.6,-15.0
