group,scenario,operations,blocked,tp,sl,be,win_rate,profit_factor,net_r,avg_r,max_drawdown_r,worst_loss_streak,best_win_streak,clusters_detected,clusters_blocked,saved_sl,sacrificed_tp,net_delta_vs_baseline_r,months_improved,months_worsened,be_simulation_status,news_guardrail_status,lot_0_6_net_usd,lot_0_6_violated_daily,lot_0_6_violated_total,lot_0_6_passed_phase1,lot_0_6_passed_phase2,lot_0_6_worst_day,lot_0_6_worst_day_pnl,lot_0_6_worst_month,lot_0_6_worst_month_pnl,lot_0_6_daily_margin_usd,lot_0_6_total_margin_usd,lot_1_0_net_usd,lot_1_0_violated_daily,lot_1_0_violated_total,lot_1_0_passed_phase1,lot_1_0_passed_phase2,lot_1_0_worst_day,lot_1_0_worst_day_pnl,lot_1_0_worst_month,lot_1_0_worst_month_pnl,lot_1_0_daily_margin_usd,lot_1_0_total_margin_usd
combined,baseline,523,0,362,161,0,0.692161,2.979494,384.256247,0.734716,7.516361,5,14,221,0,0,0,0.0,0,0,not_simulated_no_mfe,placeholder_no_calendar,23055.37,False,False,True,True,2024-06-13,-159.77,2024-06,483.95,3840.23,8000.0,38425.62,False,False,True,True,2024-06-13,-266.28,2024-06,806.59,3733.72,8000.0
combined,guardrails_v1_friday_sl1,416,107,300,116,0,0.721154,3.438763,335.780595,0.807165,7.268688,3,14,261,72,45,62,-48.475652,1,5,not_simulated_no_mfe,placeholder_no_calendar,20146.84,False,False,True,True,2024-06-13,-159.77,2024-06,483.95,3840.23,8000.0,33578.06,False,False,True,True,2024-06-13,-266.28,2024-06,806.59,3733.72,8000.0
combined,guardrails_v1_friday_sl2,416,107,300,116,0,0.721154,3.438763,335.780595,0.807165,7.268688,3,14,261,72,45,62,-48.475652,1,5,not_simulated_no_mfe,placeholder_no_calendar,20146.84,False,False,True,True,2024-06-13,-159.77,2024-06,483.95,3840.23,8000.0,33578.06,False,False,True,True,2024-06-13,-266.28,2024-06,806.59,3733.72,8000.0
combined,cluster_only_2sl,459,64,327,132,0,0.712418,3.310756,362.013781,0.788701,7.268688,3,14,242,32,29,35,-22.242466,0,4,not_simulated_no_mfe,placeholder_no_calendar,21720.83,False,False,True,True,2024-06-13,-159.77,2024-06,483.95,3840.23,8000.0,36201.38,False,False,True,True,2024-06-13,-266.28,2024-06,806.59,3733.72,8000.0
combined,cluster_only_3sl,490,33,341,149,0,0.695918,3.041712,364.604833,0.744091,6.9748,5,14,232,22,12,21,-19.651414,1,2,not_simulated_no_mfe,placeholder_no_calendar,21876.29,False,False,True,True,2020-03-19,-176.65,2024-06,483.95,3823.35,8000.0,36460.48,False,False,True,True,2020-03-19,-294.41,2024-06,806.59,3705.59,8000.0
combined,friday_only_sl1,467,56,328,139,0,0.702355,3.113374,353.741787,0.757477,7.481972,4,14,243,43,22,34,-30.51446,1,5,not_simulated_no_mfe,placeholder_no_calendar,21224.51,False,False,True,True,2024-06-13,-159.77,2024-06,483.95,3840.23,8000.0,35374.18,False,False,True,True,2024-06-13,-266.28,2024-06,806.59,3733.72,8000.0
combined,friday_only_sl2,467,56,328,139,0,0.702355,3.113374,353.741787,0.757477,7.481972,4,14,243,43,22,34,-30.51446,1,5,not_simulated_no_mfe,placeholder_no_calendar,21224.51,False,False,True,True,2024-06-13,-159.77,2024-06,483.95,3840.23,8000.0,35374.18,False,False,True,True,2024-06-13,-266.28,2024-06,806.59,3733.72,8000.0
