group,scenario,month,entry_time,decision_id,symbol,direction,result_if_taken,r_if_taken,net_pips_if_taken,reason,cluster_id,cluster_consecutive_sl,daily_sl_count,session_sl_count,daily_drawdown_r,friday_risk,spread_deteriorated,safe_mode_active,blocked_until
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-17T19:00:00+00:00,EURUSD-2020-03-17T19:00:00Z-000246,EURUSD,BUY,WIN,1.789155,17.89155,cluster_2_consecutive_sl_block_180m,34,2,4,3,5.049545,False,False,False,2020-03-17T22:00:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-17T19:55:00+00:00,EURUSD-2020-03-17T19:55:00Z-000247,EURUSD,BUY,WIN,1.759543,17.59543,cluster_2_consecutive_sl_block_180m,34,2,4,3,5.049545,False,False,False,2020-03-17T22:00:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-17T21:00:00+00:00,EURUSD-2020-03-17T21:00:00Z-000248,EURUSD,BUY,LOSS,-1.321088,-13.21088,cluster_2_consecutive_sl_block_180m,34,2,4,3,5.049545,False,False,False,2020-03-17T22:00:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-17T21:25:00+00:00,EURUSD-2020-03-17T21:25:00Z-000250,EURUSD,BUY,WIN,1.644436,16.44436,cluster_2_consecutive_sl_block_180m,34,2,4,3,5.049545,False,False,False,2020-03-17T22:00:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-17T21:40:00+00:00,EURUSD-2020-03-17T21:40:00Z-000251,EURUSD,BUY,LOSS,-1.229256,-12.29256,cluster_2_consecutive_sl_block_180m,34,2,4,3,5.049545,False,False,False,2020-03-17T22:00:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-19T08:50:00+00:00,EURUSD-2020-03-19T08:50:00Z-000309,EURUSD,SELL,WIN,1.726592,17.26592,cluster_2_consecutive_sl_block_180m,39,2,2,2,2.58682,False,False,False,2020-03-19T11:50:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-19T09:20:00+00:00,EURUSD-2020-03-19T09:20:00Z-000310,EURUSD,SELL,WIN,1.752449,17.52449,cluster_2_consecutive_sl_block_180m,39,2,2,2,2.58682,False,False,False,2020-03-19T11:50:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-19T09:30:00+00:00,EURUSD-2020-03-19T09:30:00Z-000311,EURUSD,SELL,WIN,1.67576,16.7576,cluster_2_consecutive_sl_block_180m,39,2,2,2,2.58682,False,False,False,2020-03-19T11:50:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-19T09:40:00+00:00,EURUSD-2020-03-19T09:40:00Z-000312,EURUSD,SELL,LOSS,-1.320475,-13.20475,cluster_2_consecutive_sl_block_180m,39,2,2,2,2.58682,False,False,False,2020-03-19T11:50:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl1,2020-03,2020-03-19T09:45:00+00:00,EURUSD-2020-03-19T09:45:00Z-000313,EURUSD,SELL,LOSS,-1.375764,-13.75764,cluster_2_consecutive_sl_block_180m,39,2,2,2,2.58682,False,False,False,2020-03-19T11:50:00+00:00
