month,scenario,lot,date,trades,tp,sl,be,daily_pnl_usd,balance_usd,drawdown_usd,drawdown_pct,distance_daily_limit_usd,distance_total_limit_usd,danger_zone,toxic_cluster_detected,toxic_cluster_reason
2020-03,baseline,0.6,2020-03-03,1,1,0,0,98.24,100098.24,0.0,0.0,4098.24,8098.24,No,False,
2020-03,baseline,0.6,2020-03-04,2,2,0,0,117.79,100216.03,0.0,0.0,4117.79,8216.03,No,False,
2020-03,baseline,0.6,2020-03-05,1,1,0,0,101.87,100317.9,0.0,0.0,4101.87,8317.9,No,False,
2020-03,baseline,0.6,2020-03-10,24,14,10,0,567.18,100885.09,0.0,0.0,4567.18,8885.09,No,False,
2020-03,baseline,0.6,2020-03-11,11,9,2,0,676.81,101561.9,0.0,0.0,4676.81,9561.9,No,False,
2020-03,baseline,0.6,2020-03-12,20,12,8,0,617.81,102179.71,0.0,0.0,4617.81,10179.71,No,False,
2020-03,baseline,0.6,2020-03-13,12,8,4,0,519.85,102699.56,0.0,0.0,4519.85,10699.56,No,False,
2020-03,baseline,0.6,2020-03-17,19,13,6,0,884.68,103584.23,0.0,0.0,4884.68,11584.23,No,False,
2020-03,baseline,0.6,2020-03-18,14,10,4,0,732.82,104317.05,0.0,0.0,4732.82,12317.05,No,False,
2020-03,baseline,0.6,2020-03-19,30,15,15,0,388.66,104705.71,0.0,0.0,4388.66,12705.71,No,False,
2020-03,baseline,0.6,2020-03-20,26,12,14,0,115.76,104821.47,0.0,0.0,4115.76,12821.47,No,False,
2020-03,baseline,0.6,2020-03-25,1,1,0,0,106.76,104928.22,0.0,0.0,4106.76,12928.22,No,False,
2020-03,baseline,0.6,2020-03-26,8,6,2,0,463.16,105391.38,0.0,0.0,4463.16,13391.38,No,False,
2020-03,baseline,0.6,2020-03-27,11,11,0,0,1136.52,106527.9,0.0,0.0,5136.52,14527.9,No,False,
2020-03,baseline,0.6,2020-03-31,1,1,0,0,99.58,106627.49,0.0,0.0,4099.58,14627.49,No,False,
2020-03,cluster_only_3sl,0.6,2020-03-03,1,1,0,0,98.24,100098.24,0.0,0.0,4098.24,8098.24,No,False,
2020-03,cluster_only_3sl,0.6,2020-03-04,2,2,0,0,117.79,100216.03,0.0,0.0,4117.79,8216.03,No,False,
2020-03,cluster_only_3sl,0.6,2020-03-05,1,1,0,0,101.87,100317.9,0.0,0.0,4101.87,8317.9,No,False,
2020-03,cluster_only_3sl,0.6,2020-03-10,17,8,9,0,67.14,100385.04,0.0,0.0,4067.14,8385.04,No,True,cluster_3_consecutive_sl_safe_mode
2020-03,cluster_only_3sl,0.6,2020-03-11,11,9,2,0,676.81,101061.86,0.0,0.0,4676.81,9061.86,No,False,
2020-03,cluster_only_3sl,0.6,2020-03-12,20,12,8,0,617.81,101679.67,0.0,0.0,4617.81,9679.67,No,False,
2020-03,cluster_only_3sl,0.6,2020-03-13,12,8,4,0,519.85,102199.52,0.0,0.0,4519.85,10199.52,No,False,
2020-03,cluster_only_3sl,0.6,2020-03-17,19,13,6,0,884.68,103084.19,0.0,0.0,4884.68,11084.19,No,False,
2020-03,cluster_only_3sl,0.6,2020-03-18,14,10,4,0,732.82,103817.01,0.0,0.0,4732.82,11817.01,No,False,
2020-03,cluster_only_3sl,0.6,2020-03-19,21,8,13,0,-176.65,103640.36,176.65,0.001766,3823.35,11640.36,No,True,cluster_3_consecutive_sl_safe_mode
2020-03,cluster_only_3sl,0.6,2020-03-20,19,9,10,0,113.57,103753.93,63.08,0.000631,4113.57,11753.93,No,True,cluster_3_consecutive_sl_safe_mode
2020-03,cluster_only_3sl,0.6,2020-03-25,1,1,0,0,106.76,103860.69,0.0,0.0,4106.76,11860.69,No,False,
2020-03,cluster_only_3sl,0.6,2020-03-26,8,6,2,0,463.16,104323.85,0.0,0.0,4463.16,12323.85,No,False,
2020-03,cluster_only_3sl,0.6,2020-03-27,11,11,0,0,1136.52,105460.37,0.0,0.0,5136.52,13460.37,No,False,
2020-03,cluster_only_3sl,0.6,2020-03-31,1,1,0,0,99.58,105559.95,0.0,0.0,4099.58,13559.95,No,False,
2020-03,guardrails_completos,0.6,2020-03-03,1,1,0,0,98.24,100098.24,0.0,0.0,4098.24,8098.24,No,False,
2020-03,guardrails_completos,0.6,2020-03-04,2,2,0,0,117.79,100216.03,0.0,0.0,4117.79,8216.03,No,False,
2020-03,guardrails_completos,0.6,2020-03-05,1,1,0,0,101.87,100317.9,0.0,0.0,4101.87,8317.9,No,False,
2020-03,guardrails_completos,0.6,2020-03-10,17,11,6,0,593.02,100910.92,0.0,0.0,4593.02,8910.92,No,True,cluster_2_consecutive_sl_block_180m
2020-03,guardrails_completos,0.6,2020-03-11,11,9,2,0,676.81,101587.73,0.0,0.0,4676.81,9587.73,No,False,
2020-03,guardrails_completos,0.6,2020-03-12,15,9,6,0,462.12,102049.86,0.0,0.0,4462.12,10049.86,No,True,cluster_2_consecutive_sl_block_180m
2020-03,guardrails_completos,0.6,2020-03-13,3,1,2,0,-53.83,101996.03,53.83,0.000538,3946.17,9996.03,No,True,friday_2sl_safe_mode
2020-03,guardrails_completos,0.6,2020-03-17,14,10,4,0,726.11,102722.14,0.0,0.0,4726.11,10722.14,No,True,cluster_2_consecutive_sl_block_180m
2020-03,guardrails_completos,0.6,2020-03-18,14,10,4,0,732.82,103454.96,0.0,0.0,4732.82,11454.96,No,False,
2020-03,guardrails_completos,0.6,2020-03-19,9,4,5,0,24.23,103479.19,0.0,0.0,4024.23,11479.19,No,True,cluster_2_consecutive_sl_block_180m
2020-03,guardrails_completos,0.6,2020-03-20,6,4,2,0,240.32,103719.5,0.0,0.0,4240.32,11719.5,No,True,friday_2sl_safe_mode
2020-03,guardrails_completos,0.6,2020-03-25,1,1,0,0,106.76,103826.26,0.0,0.0,4106.76,11826.26,No,False,
2020-03,guardrails_completos,0.6,2020-03-26,8,6,2,0,463.16,104289.42,0.0,0.0,4463.16,12289.42,No,False,
2020-03,guardrails_completos,0.6,2020-03-27,11,11,0,0,1136.52,105425.94,0.0,0.0,5136.52,13425.94,No,False,
2020-03,guardrails_completos,0.6,2020-03-31,1,1,0,0,99.58,105525.52,0.0,0.0,4099.58,13525.52,No,False,
2022-04,baseline,0.6,2022-04-01,1,1,0,0,105.33,100105.33,0.0,0.0,4105.33,8105.33,No,False,
2022-04,baseline,0.6,2022-04-05,5,5,0,0,449.46,100554.79,0.0,0.0,4449.46,8554.79,No,False,
2022-04,baseline,0.6,2022-04-06,1,1,0,0,105.49,100660.28,0.0,0.0,4105.49,8660.28,No,False,
2022-04,baseline,0.6,2022-04-08,3,3,0,0,301.81,100962.08,0.0,0.0,4301.81,8962.08,No,False,
2022-04,baseline,0.6,2022-04-12,1,1,0,0,11.76,100973.84,0.0,0.0,4011.76,8973.84,No,False,
2022-04,baseline,0.6,2022-04-13,3,2,1,0,128.34,101102.18,0.0,0.0,4128.34,9102.18,No,False,
2022-04,baseline,0.6,2022-04-14,4,4,0,0,401.36,101503.55,0.0,0.0,4401.36,9503.55,No,False,
2022-04,baseline,0.6,2022-04-15,2,2,0,0,121.95,101625.5,0.0,0.0,4121.95,9625.5,No,False,
2022-04,baseline,0.6,2022-04-19,4,3,1,0,233.16,101858.65,0.0,0.0,4233.16,9858.65,No,False,
2022-04,baseline,0.6,2022-04-20,4,3,1,0,127.25,101985.9,0.0,0.0,4127.25,9985.9,No,False,
2022-04,baseline,0.6,2022-04-21,11,7,4,0,390.16,102376.06,0.0,0.0,4390.16,10376.06,No,False,
2022-04,baseline,0.6,2022-04-22,8,6,2,0,391.29,102767.35,0.0,0.0,4391.29,10767.35,No,False,
2022-04,baseline,0.6,2022-04-26,7,6,1,0,509.92,103277.27,0.0,0.0,4509.92,11277.27,No,False,
2022-04,baseline,0.6,2022-04-27,13,6,7,0,30.06,103307.33,0.0,0.0,4030.06,11307.33,No,False,
2022-04,baseline,0.6,2022-04-28,12,6,6,0,111.91,103419.24,0.0,0.0,4111.91,11419.24,No,False,
2022-04,baseline,0.6,2022-04-29,15,10,5,0,614.84,104034.08,0.0,0.0,4614.84,12034.08,No,False,
2022-04,cluster_only_3sl,0.6,2022-04-01,1,1,0,0,105.33,100105.33,0.0,0.0,4105.33,8105.33,No,False,
2022-04,cluster_only_3sl,0.6,2022-04-05,5,5,0,0,449.46,100554.79,0.0,0.0,4449.46,8554.79,No,False,
2022-04,cluster_only_3sl,0.6,2022-04-06,1,1,0,0,105.49,100660.28,0.0,0.0,4105.49,8660.28,No,False,
2022-04,cluster_only_3sl,0.6,2022-04-08,3,3,0,0,301.81,100962.08,0.0,0.0,4301.81,8962.08,No,False,
2022-04,cluster_only_3sl,0.6,2022-04-12,1,1,0,0,11.76,100973.84,0.0,0.0,4011.76,8973.84,No,False,
2022-04,cluster_only_3sl,0.6,2022-04-13,3,2,1,0,128.34,101102.18,0.0,0.0,4128.34,9102.18,No,False,
2022-04,cluster_only_3sl,0.6,2022-04-14,4,4,0,0,401.36,101503.55,0.0,0.0,4401.36,9503.55,No,False,
2022-04,cluster_only_3sl,0.6,2022-04-15,2,2,0,0,121.95,101625.5,0.0,0.0,4121.95,9625.5,No,False,
2022-04,cluster_only_3sl,0.6,2022-04-19,4,3,1,0,233.16,101858.65,0.0,0.0,4233.16,9858.65,No,False,
2022-04,cluster_only_3sl,0.6,2022-04-20,4,3,1,0,127.25,101985.9,0.0,0.0,4127.25,9985.9,No,False,
2022-04,cluster_only_3sl,0.6,2022-04-21,11,7,4,0,390.16,102376.06,0.0,0.0,4390.16,10376.06,No,False,
2022-04,cluster_only_3sl,0.6,2022-04-22,8,6,2,0,391.29,102767.35,0.0,0.0,4391.29,10767.35,No,False,
2022-04,cluster_only_3sl,0.6,2022-04-26,7,6,1,0,509.92,103277.27,0.0,0.0,4509.92,11277.27,No,False,
2022-04,cluster_only_3sl,0.6,2022-04-27,6,3,3,0,59.7,103336.97,0.0,0.0,4059.7,11336.97,No,True,cluster_3_consecutive_sl_safe_mode
2022-04,cluster_only_3sl,0.6,2022-04-28,12,6,6,0,111.91,103448.88,0.0,0.0,4111.91,11448.88,No,False,
2022-04,cluster_only_3sl,0.6,2022-04-29,15,10,5,0,614.84,104063.72,0.0,0.0,4614.84,12063.72,No,False,
