dataset,scenario,trades,wins,losses,be,win_rate,net,profit_factor,max_drawdown,trades_removed,winning_trades_removed,losing_trades_removed,removed_net,net_delta_vs_baseline,dd_delta_vs_baseline,fast_same_direction_reentries,fast_reentry_wins,fast_reentry_losses,fast_reentry_net
artifacts/ceo_magi_v3/ceo_magi_v3_decisions.csv,Cooldown F - same direction until session change,2582,1904,678,0,0.7374,2203.424854,3.7493,7.276816,764,536,228,600.57769,-600.57769,-0.239545,628,479,149,600.988945
artifacts/ceo_magi_v3/ceo_magi_v3_decisions.csv,Cooldown G - same direction until next day,2108,1547,561,0,0.7339,1766.929919,3.6962,5.73657,1238,893,345,1037.072625,-1037.072625,-1.779791,628,479,149,600.988945
artifacts/magi_realistic_scenario_c/scenario_c_realistic_trades.csv,Baseline,6539,3922,2615,0,0.6,4669.93,2.8517,9.0,0,0,0,0,0.0,0.0,2000,1194,669,1797.3
artifacts/magi_realistic_scenario_c/scenario_c_realistic_trades.csv,Cooldown A - 60m same direction after 1 SL,4605,2735,1868,0,0.5942,3141.73,2.7525,9.62,1934,1187,747,1528.2,-1528.2,0.62,2000,1194,669,1797.3
artifacts/magi_realistic_scenario_c/scenario_c_realistic_trades.csv,Cooldown B - 90m same direction after 1 SL,4360,2579,1779,0,0.5918,2937.17,2.7217,9.0,2179,1343,836,1732.76,-1732.76,0.0,2000,1194,669,1797.3
artifacts/magi_realistic_scenario_c/scenario_c_realistic_trades.csv,Cooldown C - 180m same direction after 1 SL,3939,2349,1588,0,0.5966,2683.23,2.7662,9.0,2600,1573,1027,1986.7,-1986.7,0.0,2000,1194,669,1797.3
artifacts/magi_realistic_scenario_c/scenario_c_realistic_trades.csv,Cooldown D - after 2 SL same direction/session block 3h,5369,3223,2144,0,0.6005,3800.46,2.8473,8.46,1170,699,471,869.47,-869.47,-0.54,2000,1194,669,1797.3
artifacts/magi_realistic_scenario_c/scenario_c_realistic_trades.csv,Cooldown E - after 3 SL day safe until next day,4706,2914,1790,0,0.6195,3539.32,3.0806,6.0,1833,1008,825,1130.61,-1130.61,-3.0,2000,1194,669,1797.3
artifacts/magi_realistic_scenario_c/scenario_c_realistic_trades.csv,Cooldown F - same direction until session change,4226,2507,1717,0,0.5935,2865.49,2.7448,8.45,2313,1415,898,1804.44,-1804.44,-0.55,2000,1194,669,1797.3
artifacts/magi_realistic_scenario_c/scenario_c_realistic_trades.csv,Cooldown G - same direction until next day,2894,1780,1112,0,0.6155,2070.63,2.9734,7.85,3645,2142,1503,2599.3,-2599.3,-1.15,2000,1194,669,1797.3
data/output/magi_v2/baltasar_v2_rich_features_model/policy_medium_r_simulation/simulated_trades_050.csv,Baseline,4907,2117,2787,3,0.4317,929.04,1.3496,134.09,0,0,0,0,0.0,0.0,0,0,0,0
data/output/magi_v2/baltasar_v2_rich_features_model/policy_medium_r_simulation/simulated_trades_050.csv,Cooldown A - 60m same direction after 1 SL,4907,2117,2787,3,0.4317,929.04,1.3496,134.09,0,0,0,0,0.0,0.0,0,0,0,0
data/output/magi_v2/baltasar_v2_rich_features_model/policy_medium_r_simulation/simulated_trades_050.csv,Cooldown B - 90m same direction after 1 SL,4907,2117,2787,3,0.4317,929.04,1.3496,134.09,0,0,0,0,0.0,0.0,0,0,0,0
data/output/magi_v2/baltasar_v2_rich_features_model/policy_medium_r_simulation/simulated_trades_050.csv,Cooldown C - 180m same direction after 1 SL,4907,2117,2787,3,0.4317,929.04,1.3496,134.09,0,0,0,0,0.0,0.0,0,0,0,0
data/output/magi_v2/baltasar_v2_rich_features_model/policy_medium_r_simulation/simulated_trades_050.csv,Cooldown D - after 2 SL same direction/session block 3h,4907,2117,2787,3,0.4317,929.04,1.3496,134.09,0,0,0,0,0.0,0.0,0,0,0,0
data/output/magi_v2/baltasar_v2_rich_features_model/policy_medium_r_simulation/simulated_trades_050.csv,Cooldown E - after 3 SL day safe until next day,4907,2117,2787,3,0.4317,929.04,1.3496,134.09,0,0,0,0,0.0,0.0,0,0,0,0
data/output/magi_v2/baltasar_v2_rich_features_model/policy_medium_r_simulation/simulated_trades_050.csv,Cooldown F - same direction until session change,4907,2117,2787,3,0.4317,929.04,1.3496,134.09,0,0,0,0,0.0,0.0,0,0,0,0
data/output/magi_v2/baltasar_v2_rich_features_model/policy_medium_r_simulation/simulated_trades_050.csv,Cooldown G - same direction until next day,4907,2117,2787,3,0.4317,929.04,1.3496,134.09,0,0,0,0,0.0,0.0,0,0,0,0
