threshold,segment,rows,trades,coverage,trade_precision,avg_r,total_r,profit_factor,max_drawdown_r,buy_precision,sell_precision,macro_f1,prediction_distribution,target_distribution,confusion_matrix,low_sample
0.40,asia|h4_bearish|d1_bearish|align_aligned|atr_extended|d1pos_low,216,0,0.0,,,,,0.0,,,0.310231,"{""DO_NOTHING"": 216}","{""DO_NOTHING"": 188, ""ENTER_BUY"": 1, ""ENTER_SELL"": 27}","{""DO_NOTHING"": {""DO_NOTHING"": 188, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 1, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 27, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bearish|d1_bearish|align_aligned|atr_extended|d1pos_mid_high,120,0,0.0,,,,,0.0,,,0.330532,"{""DO_NOTHING"": 120}","{""DO_NOTHING"": 118, ""ENTER_BUY"": 2}","{""DO_NOTHING"": {""DO_NOTHING"": 118, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 2, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bearish|d1_bearish|align_aligned|atr_extended|d1pos_mid_low,192,0,0.0,,,,,0.0,,,0.276423,"{""DO_NOTHING"": 192}","{""DO_NOTHING"": 136, ""ENTER_BUY"": 16, ""ENTER_SELL"": 40}","{""DO_NOTHING"": {""DO_NOTHING"": 136, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 16, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 40, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bearish|d1_bearish|align_aligned|atr_normal|d1pos_low,228,3,0.013158,0.0,0.426667,1.28,,0.0,0.0,,0.318043,"{""DO_NOTHING"": 225, ""ENTER_BUY"": 3}","{""DO_NOTHING"": 211, ""ENTER_SELL"": 17}","{""DO_NOTHING"": {""DO_NOTHING"": 208, ""ENTER_BUY"": 3, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 17, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bearish|d1_bearish|align_aligned|atr_normal|d1pos_mid_high,216,0,0.0,,,,,0.0,,,0.29361,"{""DO_NOTHING"": 216}","{""DO_NOTHING"": 170, ""ENTER_BUY"": 46}","{""DO_NOTHING"": {""DO_NOTHING"": 170, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 46, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bearish|d1_bearish|align_aligned|atr_normal|d1pos_mid_low,37,0,0.0,,,,,0.0,,,0.333333,"{""DO_NOTHING"": 37}","{""DO_NOTHING"": 37}","{""DO_NOTHING"": {""DO_NOTHING"": 37, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bearish|d1_bullish|align_neutral|atr_extended|d1pos_high,114,8,0.070175,0.0,-1.0,-8.0,0.0,8.0,0.0,,0.259048,"{""DO_NOTHING"": 106, ""ENTER_BUY"": 8}","{""DO_NOTHING"": 69, ""ENTER_SELL"": 45}","{""DO_NOTHING"": {""DO_NOTHING"": 68, ""ENTER_BUY"": 1, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 38, ""ENTER_BUY"": 7, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bearish|d1_bullish|align_neutral|atr_extended|d1pos_mid_high,164,63,0.384146,0.031746,-0.301746,-19.01,0.395548,23.01,0.031746,,0.236107,"{""DO_NOTHING"": 101, ""ENTER_BUY"": 63}","{""DO_NOTHING"": 126, ""ENTER_BUY"": 8, ""ENTER_SELL"": 30}","{""DO_NOTHING"": {""DO_NOTHING"": 74, ""ENTER_BUY"": 52, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 6, ""ENTER_BUY"": 2, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 21, ""ENTER_BUY"": 9, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bearish|d1_bullish|align_neutral|atr_extended|d1pos_mid_low,85,0,0.0,,,,,0.0,,,0.240602,"{""DO_NOTHING"": 85}","{""DO_NOTHING"": 48, ""ENTER_SELL"": 37}","{""DO_NOTHING"": {""DO_NOTHING"": 48, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 37, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bearish|d1_bullish|align_neutral|atr_low|d1pos_mid_high,36,0,0.0,,,,,0.0,,,0.30303,"{""DO_NOTHING"": 36}","{""DO_NOTHING"": 30, ""ENTER_BUY"": 6}","{""DO_NOTHING"": {""DO_NOTHING"": 30, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 6, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bearish|d1_bullish|align_neutral|atr_normal|d1pos_high,276,12,0.043478,0.666667,1.658333,19.9,,0.0,,0.666667,0.589744,"{""DO_NOTHING"": 264, ""ENTER_SELL"": 12}","{""DO_NOTHING"": 256, ""ENTER_BUY"": 12, ""ENTER_SELL"": 8}","{""DO_NOTHING"": {""DO_NOTHING"": 252, ""ENTER_BUY"": 0, ""ENTER_SELL"": 4}, ""ENTER_BUY"": {""DO_NOTHING"": 12, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 8}}",True
0.40,asia|h4_bearish|d1_bullish|align_neutral|atr_normal|d1pos_low,85,0,0.0,,,,,0.0,,,0.126984,"{""DO_NOTHING"": 85}","{""DO_NOTHING"": 20, ""ENTER_BUY"": 20, ""ENTER_SELL"": 45}","{""DO_NOTHING"": {""DO_NOTHING"": 20, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 20, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 45, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bearish|d1_bullish|align_neutral|atr_normal|d1pos_mid_high,48,0,0.0,,,,,0.0,,,0.333333,"{""DO_NOTHING"": 48}","{""DO_NOTHING"": 48}","{""DO_NOTHING"": {""DO_NOTHING"": 48, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bearish|d1_range|align_neutral|atr_extended|d1pos_high,249,60,0.240964,0.266667,-0.156333,-9.38,0.78186,24.38,0.148148,0.363636,0.433922,"{""DO_NOTHING"": 189, ""ENTER_BUY"": 27, ""ENTER_SELL"": 33}","{""DO_NOTHING"": 176, ""ENTER_BUY"": 31, ""ENTER_SELL"": 42}","{""DO_NOTHING"": {""DO_NOTHING"": 154, ""ENTER_BUY"": 8, ""ENTER_SELL"": 14}, ""ENTER_BUY"": {""DO_NOTHING"": 20, ""ENTER_BUY"": 4, ""ENTER_SELL"": 7}, ""ENTER_SELL"": {""DO_NOTHING"": 15, ""ENTER_BUY"": 15, ""ENTER_SELL"": 12}}",True
0.40,asia|h4_bearish|d1_range|align_neutral|atr_extended|d1pos_low,583,23,0.039451,0.217391,0.105652,2.43,1.272422,7.12,0.217391,,0.322866,"{""DO_NOTHING"": 560, ""ENTER_BUY"": 23}","{""DO_NOTHING"": 452, ""ENTER_BUY"": 76, ""ENTER_SELL"": 55}","{""DO_NOTHING"": {""DO_NOTHING"": 439, ""ENTER_BUY"": 13, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 71, ""ENTER_BUY"": 5, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 50, ""ENTER_BUY"": 5, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bearish|d1_range|align_neutral|atr_extended|d1pos_mid_high,682,20,0.029326,0.3,-0.1,-2.0,0.857143,10.0,0.545455,0.0,0.314749,"{""DO_NOTHING"": 662, ""ENTER_BUY"": 11, ""ENTER_SELL"": 9}","{""DO_NOTHING"": 520, ""ENTER_BUY"": 150, ""ENTER_SELL"": 12}","{""DO_NOTHING"": {""DO_NOTHING"": 514, ""ENTER_BUY"": 4, ""ENTER_SELL"": 2}, ""ENTER_BUY"": {""DO_NOTHING"": 137, ""ENTER_BUY"": 6, ""ENTER_SELL"": 7}, ""ENTER_SELL"": {""DO_NOTHING"": 11, ""ENTER_BUY"": 1, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bearish|d1_range|align_neutral|atr_extended|d1pos_mid_low,638,54,0.084639,0.0,-0.314074,-16.96,0.398368,23.0,0.0,0.0,0.30932,"{""DO_NOTHING"": 584, ""ENTER_BUY"": 43, ""ENTER_SELL"": 11}","{""DO_NOTHING"": 582, ""ENTER_BUY"": 36, ""ENTER_SELL"": 20}","{""DO_NOTHING"": {""DO_NOTHING"": 541, ""ENTER_BUY"": 33, ""ENTER_SELL"": 8}, ""ENTER_BUY"": {""DO_NOTHING"": 33, ""ENTER_BUY"": 0, ""ENTER_SELL"": 3}, ""ENTER_SELL"": {""DO_NOTHING"": 10, ""ENTER_BUY"": 10, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bearish|d1_range|align_neutral|atr_low|d1pos_low,36,3,0.083333,1.0,2.0,6.0,,0.0,1.0,,0.238095,"{""DO_NOTHING"": 33, ""ENTER_BUY"": 3}","{""DO_NOTHING"": 11, ""ENTER_BUY"": 25}","{""DO_NOTHING"": {""DO_NOTHING"": 11, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 22, ""ENTER_BUY"": 3, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bearish|d1_range|align_neutral|atr_normal|d1pos_high,37,0,0.0,,,,,0.0,,,0.324074,"{""DO_NOTHING"": 37}","{""DO_NOTHING"": 35, ""ENTER_BUY"": 1, ""ENTER_SELL"": 1}","{""DO_NOTHING"": {""DO_NOTHING"": 35, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 1, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 1, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bearish|d1_range|align_neutral|atr_normal|d1pos_low,336,0,0.0,,,,,0.0,,,0.324682,"{""DO_NOTHING"": 336}","{""DO_NOTHING"": 319, ""ENTER_BUY"": 4, ""ENTER_SELL"": 13}","{""DO_NOTHING"": {""DO_NOTHING"": 319, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 4, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 13, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bearish|d1_range|align_neutral|atr_normal|d1pos_mid_high,444,7,0.015766,0.0,-1.0,-7.0,0.0,7.0,,0.0,0.279315,"{""DO_NOTHING"": 437, ""ENTER_SELL"": 7}","{""DO_NOTHING"": 322, ""ENTER_BUY"": 65, ""ENTER_SELL"": 57}","{""DO_NOTHING"": {""DO_NOTHING"": 318, ""ENTER_BUY"": 0, ""ENTER_SELL"": 4}, ""ENTER_BUY"": {""DO_NOTHING"": 62, ""ENTER_BUY"": 0, ""ENTER_SELL"": 3}, ""ENTER_SELL"": {""DO_NOTHING"": 57, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bearish|d1_range|align_neutral|atr_normal|d1pos_mid_low,108,4,0.037037,0.0,-0.1975,-0.79,0.605,2.0,,0.0,0.29932,"{""DO_NOTHING"": 104, ""ENTER_SELL"": 4}","{""DO_NOTHING"": 92, ""ENTER_BUY"": 16}","{""DO_NOTHING"": {""DO_NOTHING"": 88, ""ENTER_BUY"": 0, ""ENTER_SELL"": 4}, ""ENTER_BUY"": {""DO_NOTHING"": 16, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bullish|d1_bearish|align_neutral|atr_extended|d1pos_high,36,1,0.027778,0.0,0.41,0.41,,0.0,0.0,,0.213836,"{""DO_NOTHING"": 35, ""ENTER_BUY"": 1}","{""DO_NOTHING"": 18, ""ENTER_SELL"": 18}","{""DO_NOTHING"": {""DO_NOTHING"": 17, ""ENTER_BUY"": 1, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 18, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bullish|d1_bearish|align_neutral|atr_extended|d1pos_low,144,5,0.034722,0.0,-1.0,-5.0,0.0,5.0,,0.0,0.296588,"{""DO_NOTHING"": 139, ""ENTER_SELL"": 5}","{""DO_NOTHING"": 115, ""ENTER_BUY"": 16, ""ENTER_SELL"": 13}","{""DO_NOTHING"": {""DO_NOTHING"": 113, ""ENTER_BUY"": 0, ""ENTER_SELL"": 2}, ""ENTER_BUY"": {""DO_NOTHING"": 13, ""ENTER_BUY"": 0, ""ENTER_SELL"": 3}, ""ENTER_SELL"": {""DO_NOTHING"": 13, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bullish|d1_bearish|align_neutral|atr_extended|d1pos_mid_high,84,0,0.0,,,,,0.0,,,0.331337,"{""DO_NOTHING"": 84}","{""DO_NOTHING"": 83, ""ENTER_SELL"": 1}","{""DO_NOTHING"": {""DO_NOTHING"": 83, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 1, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bullish|d1_bearish|align_neutral|atr_extended|d1pos_mid_low,84,66,0.785714,0.727273,1.562273,103.11,21.622,3.0,,0.727273,0.316667,"{""DO_NOTHING"": 18, ""ENTER_SELL"": 66}","{""DO_NOTHING"": 22, ""ENTER_SELL"": 62}","{""DO_NOTHING"": {""DO_NOTHING"": 4, ""ENTER_BUY"": 0, ""ENTER_SELL"": 18}, ""ENTER_BUY"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 14, ""ENTER_BUY"": 0, ""ENTER_SELL"": 48}}",True
0.40,asia|h4_bullish|d1_bearish|align_neutral|atr_low|d1pos_low,36,0,0.0,,,,,0.0,,,0.333333,"{""DO_NOTHING"": 36}","{""DO_NOTHING"": 36}","{""DO_NOTHING"": {""DO_NOTHING"": 36, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bullish|d1_bearish|align_neutral|atr_normal|d1pos_high,38,0,0.0,,,,,0.0,,,0.333333,"{""DO_NOTHING"": 38}","{""DO_NOTHING"": 38}","{""DO_NOTHING"": {""DO_NOTHING"": 38, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bullish|d1_bearish|align_neutral|atr_normal|d1pos_low,156,0,0.0,,,,,0.0,,,0.311718,"{""DO_NOTHING"": 156}","{""DO_NOTHING"": 137, ""ENTER_SELL"": 19}","{""DO_NOTHING"": {""DO_NOTHING"": 137, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 19, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bullish|d1_bearish|align_neutral|atr_normal|d1pos_mid_high,154,0,0.0,,,,,0.0,,,0.307692,"{""DO_NOTHING"": 154}","{""DO_NOTHING"": 132, ""ENTER_SELL"": 22}","{""DO_NOTHING"": {""DO_NOTHING"": 132, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 22, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bullish|d1_bearish|align_neutral|atr_normal|d1pos_mid_low,36,0,0.0,,,,,0.0,,,0.333333,"{""DO_NOTHING"": 36}","{""DO_NOTHING"": 36}","{""DO_NOTHING"": {""DO_NOTHING"": 36, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bullish|d1_bullish|align_aligned|atr_extended|d1pos_high,1056,230,0.217803,0.343478,0.030435,7.0,1.046358,90.0,0.857143,0.310185,0.449662,"{""DO_NOTHING"": 826, ""ENTER_BUY"": 14, ""ENTER_SELL"": 216}","{""DO_NOTHING"": 709, ""ENTER_BUY"": 225, ""ENTER_SELL"": 122}","{""DO_NOTHING"": {""DO_NOTHING"": 654, ""ENTER_BUY"": 2, ""ENTER_SELL"": 53}, ""ENTER_BUY"": {""DO_NOTHING"": 117, ""ENTER_BUY"": 12, ""ENTER_SELL"": 96}, ""ENTER_SELL"": {""DO_NOTHING"": 55, ""ENTER_BUY"": 0, ""ENTER_SELL"": 67}}",False
0.40,asia|h4_bullish|d1_bullish|align_aligned|atr_extended|d1pos_low,48,0,0.0,,,,,0.0,,,0.333333,"{""DO_NOTHING"": 48}","{""DO_NOTHING"": 48}","{""DO_NOTHING"": {""DO_NOTHING"": 48, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bullish|d1_bullish|align_aligned|atr_extended|d1pos_mid_high,97,8,0.082474,0.75,1.3425,10.74,9.52381,1.0,0.857143,0.0,0.235465,"{""DO_NOTHING"": 89, ""ENTER_BUY"": 7, ""ENTER_SELL"": 1}","{""DO_NOTHING"": 32, ""ENTER_BUY"": 50, ""ENTER_SELL"": 15}","{""DO_NOTHING"": {""DO_NOTHING"": 30, ""ENTER_BUY"": 1, ""ENTER_SELL"": 1}, ""ENTER_BUY"": {""DO_NOTHING"": 44, ""ENTER_BUY"": 6, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 15, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bullish|d1_bullish|align_aligned|atr_extended|d1pos_mid_low,72,0,0.0,,,,,0.0,,,0.316302,"{""DO_NOTHING"": 72}","{""DO_NOTHING"": 65, ""ENTER_SELL"": 7}","{""DO_NOTHING"": {""DO_NOTHING"": 65, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 7, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bullish|d1_bullish|align_aligned|atr_normal|d1pos_high,168,11,0.065476,0.727273,1.181818,13.0,5.333333,2.0,,0.727273,0.406667,"{""DO_NOTHING"": 157, ""ENTER_SELL"": 11}","{""DO_NOTHING"": 93, ""ENTER_BUY"": 54, ""ENTER_SELL"": 21}","{""DO_NOTHING"": {""DO_NOTHING"": 90, ""ENTER_BUY"": 0, ""ENTER_SELL"": 3}, ""ENTER_BUY"": {""DO_NOTHING"": 54, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 13, ""ENTER_BUY"": 0, ""ENTER_SELL"": 8}}",True
0.40,asia|h4_bullish|d1_bullish|align_aligned|atr_normal|d1pos_mid_high,134,0,0.0,,,,,0.0,,,0.288136,"{""DO_NOTHING"": 134}","{""DO_NOTHING"": 102, ""ENTER_BUY"": 32}","{""DO_NOTHING"": {""DO_NOTHING"": 102, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 32, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bullish|d1_bullish|align_aligned|atr_normal|d1pos_mid_low,70,0,0.0,,,,,0.0,,,0.330935,"{""DO_NOTHING"": 70}","{""DO_NOTHING"": 69, ""ENTER_BUY"": 1}","{""DO_NOTHING"": {""DO_NOTHING"": 69, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 1, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bullish|d1_range|align_neutral|atr_extended|d1pos_high,840,55,0.065476,0.363636,0.283818,15.61,1.538276,10.0,0.090909,0.431818,0.394026,"{""DO_NOTHING"": 785, ""ENTER_BUY"": 11, ""ENTER_SELL"": 44}","{""DO_NOTHING"": 654, ""ENTER_BUY"": 104, ""ENTER_SELL"": 82}","{""DO_NOTHING"": {""DO_NOTHING"": 621, ""ENTER_BUY"": 8, ""ENTER_SELL"": 25}, ""ENTER_BUY"": {""DO_NOTHING"": 103, ""ENTER_BUY"": 1, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 61, ""ENTER_BUY"": 2, ""ENTER_SELL"": 19}}",True
0.40,asia|h4_bullish|d1_range|align_neutral|atr_extended|d1pos_low,365,42,0.115068,0.238095,1.091905,45.86,23.93,2.0,0.2,0.243243,0.417459,"{""DO_NOTHING"": 323, ""ENTER_BUY"": 5, ""ENTER_SELL"": 37}","{""DO_NOTHING"": 317, ""ENTER_BUY"": 23, ""ENTER_SELL"": 25}","{""DO_NOTHING"": {""DO_NOTHING"": 285, ""ENTER_BUY"": 4, ""ENTER_SELL"": 28}, ""ENTER_BUY"": {""DO_NOTHING"": 22, ""ENTER_BUY"": 1, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 16, ""ENTER_BUY"": 0, ""ENTER_SELL"": 9}}",True
0.40,asia|h4_bullish|d1_range|align_neutral|atr_extended|d1pos_mid_high,548,9,0.016423,0.555556,0.666667,6.0,2.5,4.0,1.0,0.2,0.345777,"{""DO_NOTHING"": 539, ""ENTER_BUY"": 4, ""ENTER_SELL"": 5}","{""DO_NOTHING"": 424, ""ENTER_BUY"": 107, ""ENTER_SELL"": 17}","{""DO_NOTHING"": {""DO_NOTHING"": 421, ""ENTER_BUY"": 0, ""ENTER_SELL"": 3}, ""ENTER_BUY"": {""DO_NOTHING"": 102, ""ENTER_BUY"": 4, ""ENTER_SELL"": 1}, ""ENTER_SELL"": {""DO_NOTHING"": 16, ""ENTER_BUY"": 0, ""ENTER_SELL"": 1}}",True
0.40,asia|h4_bullish|d1_range|align_neutral|atr_extended|d1pos_mid_low,603,46,0.076285,0.195652,1.254348,57.7,9.242857,6.0,,0.195652,0.395842,"{""DO_NOTHING"": 557, ""ENTER_SELL"": 46}","{""DO_NOTHING"": 540, ""ENTER_BUY"": 42, ""ENTER_SELL"": 21}","{""DO_NOTHING"": {""DO_NOTHING"": 504, ""ENTER_BUY"": 0, ""ENTER_SELL"": 36}, ""ENTER_BUY"": {""DO_NOTHING"": 41, ""ENTER_BUY"": 0, ""ENTER_SELL"": 1}, ""ENTER_SELL"": {""DO_NOTHING"": 12, ""ENTER_BUY"": 0, ""ENTER_SELL"": 9}}",True
0.40,asia|h4_bullish|d1_range|align_neutral|atr_normal|d1pos_high,159,0,0.0,,,,,0.0,,,0.254215,"{""DO_NOTHING"": 159}","{""DO_NOTHING"": 98, ""ENTER_SELL"": 61}","{""DO_NOTHING"": {""DO_NOTHING"": 98, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 61, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.40,asia|h4_bullish|d1_range|align_neutral|atr_normal|d1pos_low,4,0,0.0,,,,,0.0,,,0.333333,"{""DO_NOTHING"": 4}","{""DO_NOTHING"": 4}","{""DO_NOTHING"": {""DO_NOTHING"": 4, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
