threshold,segment,rows,trades,coverage,trade_precision,avg_r,total_r,profit_factor,max_drawdown_r,buy_precision,sell_precision,macro_f1,prediction_distribution,target_distribution,confusion_matrix,low_sample
0.50,new_york|h4_range|d1_bearish|align_aligned|atr_extended|d1pos_high,254,19,0.074803,1.0,2.0,38.0,,0.0,,1.0,0.309005,"{""DO_NOTHING"": 235, ""ENTER_SELL"": 19}","{""DO_NOTHING"": 112, ""ENTER_BUY"": 26, ""ENTER_SELL"": 116}","{""DO_NOTHING"": {""DO_NOTHING"": 112, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 26, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 97, ""ENTER_BUY"": 0, ""ENTER_SELL"": 19}}",True
0.50,new_york|h4_range|d1_bearish|align_aligned|atr_extended|d1pos_low,1125,79,0.070222,0.088608,-0.601899,-47.55,0.272268,53.21,0.09375,0.085106,0.232301,"{""DO_NOTHING"": 1046, ""ENTER_BUY"": 32, ""ENTER_SELL"": 47}","{""DO_NOTHING"": 551, ""ENTER_BUY"": 307, ""ENTER_SELL"": 267}","{""DO_NOTHING"": {""DO_NOTHING"": 522, ""ENTER_BUY"": 16, ""ENTER_SELL"": 13}, ""ENTER_BUY"": {""DO_NOTHING"": 274, ""ENTER_BUY"": 3, ""ENTER_SELL"": 30}, ""ENTER_SELL"": {""DO_NOTHING"": 250, ""ENTER_BUY"": 13, ""ENTER_SELL"": 4}}",True
0.50,new_york|h4_range|d1_bearish|align_aligned|atr_extended|d1pos_mid_high,342,26,0.076023,0.307692,0.067692,1.76,1.122819,13.24,0.833333,0.15,0.368351,"{""DO_NOTHING"": 316, ""ENTER_BUY"": 6, ""ENTER_SELL"": 20}","{""DO_NOTHING"": 245, ""ENTER_BUY"": 47, ""ENTER_SELL"": 50}","{""DO_NOTHING"": {""DO_NOTHING"": 233, ""ENTER_BUY"": 1, ""ENTER_SELL"": 11}, ""ENTER_BUY"": {""DO_NOTHING"": 36, ""ENTER_BUY"": 5, ""ENTER_SELL"": 6}, ""ENTER_SELL"": {""DO_NOTHING"": 47, ""ENTER_BUY"": 0, ""ENTER_SELL"": 3}}",True
0.50,new_york|h4_range|d1_bearish|align_aligned|atr_extended|d1pos_mid_low,533,4,0.007505,0.0,-1.0,-4.0,0.0,4.0,,0.0,0.268623,"{""DO_NOTHING"": 529, ""ENTER_SELL"": 4}","{""DO_NOTHING"": 357, ""ENTER_BUY"": 139, ""ENTER_SELL"": 37}","{""DO_NOTHING"": {""DO_NOTHING"": 357, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 135, ""ENTER_BUY"": 0, ""ENTER_SELL"": 4}, ""ENTER_SELL"": {""DO_NOTHING"": 37, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.50,new_york|h4_range|d1_bearish|align_aligned|atr_low|d1pos_high,66,0,0.0,,,,,0.0,,,0.328205,"{""DO_NOTHING"": 66}","{""DO_NOTHING"": 64, ""ENTER_BUY"": 2}","{""DO_NOTHING"": {""DO_NOTHING"": 64, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 2, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.50,new_york|h4_range|d1_bearish|align_aligned|atr_low|d1pos_mid_high,6,0,0.0,,,,,0.0,,,0.0,"{""DO_NOTHING"": 6}","{""ENTER_BUY"": 6}","{""DO_NOTHING"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 6, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 0, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.50,new_york|h4_range|d1_bearish|align_aligned|atr_low|d1pos_mid_low,72,3,0.041667,0.666667,1.0,3.0,4.0,1.0,,0.666667,0.48659,"{""DO_NOTHING"": 69, ""ENTER_SELL"": 3}","{""DO_NOTHING"": 47, ""ENTER_BUY"": 22, ""ENTER_SELL"": 3}","{""DO_NOTHING"": {""DO_NOTHING"": 46, ""ENTER_BUY"": 0, ""ENTER_SELL"": 1}, ""ENTER_BUY"": {""DO_NOTHING"": 22, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 1, ""ENTER_BUY"": 0, ""ENTER_SELL"": 2}}",True
0.50,new_york|h4_range|d1_bearish|align_aligned|atr_normal|d1pos_high,167,0,0.0,,,,,0.0,,,0.228346,"{""DO_NOTHING"": 167}","{""DO_NOTHING"": 87, ""ENTER_BUY"": 52, ""ENTER_SELL"": 28}","{""DO_NOTHING"": {""DO_NOTHING"": 87, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_BUY"": {""DO_NOTHING"": 52, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 28, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}}",True
0.50,new_york|h4_range|d1_bearish|align_aligned|atr_normal|d1pos_low,915,42,0.045902,0.47619,0.921905,38.72,4.52,5.0,0.75,0.447368,0.336272,"{""DO_NOTHING"": 873, ""ENTER_BUY"": 4, ""ENTER_SELL"": 38}","{""DO_NOTHING"": 618, ""ENTER_BUY"": 124, ""ENTER_SELL"": 173}","{""DO_NOTHING"": {""DO_NOTHING"": 597, ""ENTER_BUY"": 1, ""ENTER_SELL"": 20}, ""ENTER_BUY"": {""DO_NOTHING"": 120, ""ENTER_BUY"": 3, ""ENTER_SELL"": 1}, ""ENTER_SELL"": {""DO_NOTHING"": 156, ""ENTER_BUY"": 0, ""ENTER_SELL"": 17}}",True
0.50,new_york|h4_range|d1_bearish|align_aligned|atr_normal|d1pos_mid_high,682,26,0.038123,0.653846,1.268846,32.99,9.2475,2.0,0.0,0.708333,0.29535,"{""DO_NOTHING"": 656, ""ENTER_BUY"": 2, ""ENTER_SELL"": 24}","{""DO_NOTHING"": 381, ""ENTER_BUY"": 121, ""ENTER_SELL"": 180}","{""DO_NOTHING"": {""DO_NOTHING"": 373, ""ENTER_BUY"": 1, ""ENTER_SELL"": 7}, ""ENTER_BUY"": {""DO_NOTHING"": 121, ""ENTER_BUY"": 0, ""ENTER_SELL"": 0}, ""ENTER_SELL"": {""DO_NOTHING"": 162, ""ENTER_BUY"": 1, ""ENTER_SELL"": 17}}",True
