trades,coverage,avg_r,total_r,profit_factor,max_drawdown_r,win_rate,trade_precision,threshold,split,month,buy_trades,buy_avg_r,buy_total_r,buy_profit_factor,buy_max_drawdown_r,buy_win_rate,buy_precision,sell_trades,sell_avg_r,sell_total_r,sell_profit_factor,sell_max_drawdown_r,sell_win_rate,sell_precision
141,0.029108,-0.314468,-44.34,0.5558,62.71,0.22695,0.191489,050,test,2025-01,73,0.018767,1.37,1.031603,17.0,0.315068,0.30137,68,-0.672206,-45.71,0.190544,46.0,0.132353,0.073529
193,0.041847,0.087461,16.88,1.150755,49.15,0.378238,0.290155,050,test,2025-02,121,-0.044959,-5.44,0.928251,36.54,0.338843,0.239669,72,0.31,22.32,1.617427,33.85,0.444444,0.375
102,0.022285,0.309412,31.56,1.573818,29.0,0.460784,0.401961,050,test,2025-03,72,0.146667,10.56,1.251429,29.0,0.416667,0.333333,30,0.7,21.0,2.615385,7.0,0.566667,0.566667
293,0.056476,0.299044,87.62,1.527831,73.38,0.433447,0.430034,050,test,2025-04,139,0.831799,115.62,3.141111,33.38,0.611511,0.604317,154,-0.181818,-28.0,0.75,40.0,0.272727,0.272727
242,0.046754,-0.093843,-22.71,0.863193,66.0,0.31405,0.293388,050,test,2025-05,102,0.411765,42.0,1.777778,15.0,0.470588,0.470588,140,-0.462214,-64.71,0.422232,75.0,0.2,0.164286
58,0.012573,-0.502586,-29.15,0.392708,38.0,0.172414,0.155172,050,test,2025-06,16,0.428125,6.85,1.85625,4.0,0.5,0.4375,42,-0.857143,-36.0,0.1,38.0,0.047619,0.047619
201,0.038395,0.414527,83.32,1.822102,21.67,0.482587,0.452736,050,test,2025-07,37,0.746757,27.63,2.922756,4.13,0.567568,0.567568,164,0.339573,55.69,1.640262,21.67,0.463415,0.426829
345,0.070437,0.22171,76.49,1.399009,49.29,0.44058,0.33913,050,test,2025-08,45,1.498667,67.44,10.634286,5.0,0.844444,0.755556,300,0.030167,9.05,1.048998,46.99,0.38,0.276667
178,0.036319,-0.190449,-33.9,0.701374,72.42,0.303371,0.191011,050,test,2025-09,77,-0.61039,-47.0,0.298507,56.0,0.12987,0.12987,101,0.129703,13.1,1.281599,22.46,0.435644,0.237624
193,0.03555,0.321554,62.06,1.781514,38.42,0.507772,0.316062,050,test,2025-10,17,1.411765,24.0,12.538462,2.0,0.823529,0.764706,176,0.21625,38.06,1.492176,38.42,0.477273,0.272727
122,0.026453,0.875738,106.84,3.75219,13.0,0.655738,0.57377,050,test,2025-11,7,0.398571,2.79,3.79,1.0,0.857143,0.0,115,0.904783,104.05,3.75119,13.0,0.643478,0.608696
48,0.010444,-0.115833,-5.56,0.809459,27.11,0.354167,0.104167,050,test,2025-12,12,-1.0,-12.0,0.0,12.0,0.0,0.0,36,0.178889,6.44,1.374854,15.11,0.472222,0.138889
424,0.091954,0.144976,61.47,1.235517,80.0,0.384434,0.372642,050,test,2026-01,4,1.25,5.0,6.0,1.0,0.75,0.75,420,0.134452,56.47,1.217192,80.0,0.380952,0.369048
152,0.033488,0.536118,81.49,2.926933,17.73,0.598684,0.322368,050,test,2026-02,35,0.430571,15.07,4.85422,2.89,0.771429,0.028571,117,0.567692,66.42,2.730589,17.73,0.547009,0.410256
190,0.039046,0.205842,39.11,1.349196,31.89,0.410526,0.384211,050,test,2026-03,84,0.0,0.0,1.0,25.0,0.333333,0.333333,106,0.368962,39.11,1.698393,22.0,0.471698,0.424528
113,0.049259,-0.201062,-22.72,0.688767,53.89,0.300885,0.20354,050,test,2026-04,0,0.0,0.0,0.0,0.0,0.0,0.0,113,-0.201062,-22.72,0.688767,53.89,0.300885,0.20354
364,0.074286,0.344588,125.43,1.669138,75.21,0.472527,0.39011,050,validation,2024-01,105,-0.354381,-37.21,0.541805,77.21,0.209524,0.209524,259,0.627954,162.64,2.530873,35.0,0.579151,0.46332
119,0.024286,0.323445,38.49,1.670557,25.29,0.495798,0.302521,050,validation,2024-02,89,0.655169,58.31,2.846422,11.0,0.629213,0.370787,30,-0.660667,-19.82,0.232378,19.82,0.1,0.1
70,0.014412,-0.359429,-25.16,0.416918,35.99,0.371429,0.0,050,validation,2024-03,38,-0.007632,-0.29,0.980858,15.15,0.578947,0.0,32,-0.777188,-24.87,0.111786,28.0,0.125,0.0
196,0.039992,0.662959,129.94,2.976574,29.82,0.632653,0.408163,050,validation,2024-04,171,0.539708,92.29,2.48975,29.82,0.602339,0.350877,25,1.506,37.65,10.934037,2.79,0.84,0.8
75,0.013696,-0.6316,-47.37,0.234362,47.87,0.16,0.053333,050,validation,2024-05,51,-0.458235,-23.37,0.382889,27.14,0.235294,0.078431,24,-1.0,-24.0,0.0,24.0,0.0,0.0
121,0.026236,0.407273,49.28,1.842681,17.0,0.487603,0.38843,050,validation,2024-06,97,0.557526,54.08,2.251562,24.0,0.536082,0.43299,24,-0.2,-4.8,0.685658,12.27,0.291667,0.208333
54,0.0108,0.237593,12.83,1.659979,7.97,0.537037,0.185185,050,validation,2024-07,40,0.345,13.8,2.318052,6.0,0.625,0.15,14,-0.069286,-0.97,0.891862,7.0,0.285714,0.285714
81,0.015613,0.378272,30.64,1.871445,26.31,0.518519,0.320988,050,validation,2024-08,66,0.009697,0.64,1.018203,26.31,0.409091,0.166667,15,2.0,30.0,inf,0.0,1.0,1.0
37,0.008021,0.026216,0.97,1.049139,19.53,0.351351,0.27027,050,validation,2024-09,4,2.0,8.0,inf,0.0,1.0,1.0,33,-0.21303,-7.03,0.64387,19.74,0.272727,0.181818
217,0.039627,0.424194,92.05,2.240566,33.74,0.612903,0.271889,050,validation,2024-10,89,-0.008764,-0.78,0.98129,30.71,0.47191,0.146067,128,0.725234,92.83,3.855429,14.97,0.710938,0.359375
378,0.077332,0.191534,72.4,1.333979,60.98,0.412698,0.359788,050,validation,2024-11,254,0.528268,134.18,2.154833,37.33,0.527559,0.464567,124,-0.498226,-61.78,0.385824,64.27,0.177419,0.145161
200,0.043792,-0.1946,-38.92,0.698878,58.71,0.315,0.2,050,validation,2024-12,188,-0.253457,-47.65,0.616499,57.71,0.297872,0.180851,12,0.7275,8.73,2.746,5.0,0.583333,0.5
