split,rule,mode,trades_original,trades_blocked,blocked_share,trades_remaining,avg_r_original,avg_r_filtered,avg_r_delta,pf_original,pf_filtered,pf_delta,dd_original,dd_filtered,dd_delta,total_r_original,total_r_filtered,segment_column,segment_value
test,rolling_sell_pf_below_1,BLOCK+CAUTION,12380,7023,0.567286,5357,0.075112,0.346528,0.271416,1.129633,1.710978,0.581345,410.55,59.76,350.79,929.89,1856.35,predicted_direction,SELL
test,rolling_pf_below_1_and_drawdown_high,BLOCK,12380,5416,0.43748,6964,0.075112,0.298973,0.223861,1.129633,1.59175,0.462117,410.55,100.4,310.15,929.89,2082.05,predicted_direction,SELL
test,rolling_pf_below_1_and_drawdown_high,CAUTION,12380,1174,0.09483,11206,0.075112,0.060569,-0.014543,1.129633,1.103457,-0.026176,410.55,443.82,-33.27,929.89,678.74,predicted_direction,SELL
test,rolling_pf_below_1_and_drawdown_high,BLOCK+CAUTION,12380,6590,0.53231,5790,0.075112,0.316218,0.241106,1.129633,1.630082,0.500449,410.55,68.12,342.43,929.89,1830.9,predicted_direction,SELL
test,q2_like_proxy,BLOCK,12380,5405,0.436591,6975,0.075112,0.29726,0.222148,1.129633,1.587786,0.458153,410.55,100.4,310.15,929.89,2073.39,predicted_direction,SELL
test,q2_like_proxy,CAUTION,12380,1529,0.123506,10851,0.075112,0.087416,0.012304,1.129633,1.15196,0.022327,410.55,281.69,128.86,929.89,948.55,predicted_direction,SELL
test,q2_like_proxy,BLOCK+CAUTION,12380,6934,0.560097,5446,0.075112,0.384144,0.309032,1.129633,1.805775,0.676142,410.55,59.3,351.25,929.89,2092.05,predicted_direction,SELL
test,combined_risk_rule,BLOCK,12380,7389,0.59685,4991,0.075112,0.541411,0.466299,1.129633,2.303694,1.174061,410.55,30.0,380.55,929.89,2702.18,predicted_direction,SELL
test,combined_risk_rule,CAUTION,12380,1371,0.110743,11009,0.075112,0.053115,-0.021997,1.129633,1.090285,-0.039348,410.55,516.16,-105.61,929.89,584.74,predicted_direction,SELL
test,combined_risk_rule,BLOCK+CAUTION,12380,8760,0.707593,3620,0.075112,0.651113,0.576001,1.129633,2.712846,1.583213,410.55,30.0,380.55,929.89,2357.03,predicted_direction,SELL
