path,present_count,missing_count,null_count,null_pct,types,cardinality,numeric_min,numeric_max,examples
account.balance,371513,0,0,0.0,float:371513,1,10000.0,10000.0,10000.0 | 10000.0 | 10000.0
account.daily_drawdown_percent,371513,0,0,0.0,float:371513,1,0.0,0.0,0.0 | 0.0 | 0.0
account.equity,371513,0,0,0.0,float:371513,1,10000.0,10000.0,10000.0 | 10000.0 | 10000.0
account.risk_percent_per_trade,371513,0,0,0.0,float:371513,1,0.0,0.0,0.0 | 0.0 | 0.0
active_session,371513,0,0,0.0,str:371513,5,,,asia | asia | asia
allowed_actions.count,371513,0,0,0.0,int:371513,1,2.0,2.0,2 | 2 | 2
allowed_actions.sample,371513,0,0,0.0,str:371513,1,,,open | open | open
anchor_bar_timestamp,371513,0,0,0.0,str:371513,>2000,,,2020-01-15T00:00:00Z | 2020-01-15T00:05:00Z | 2020-01-15T00:10:00Z
anchor_close,371513,0,0,0.0,float:371513,>2000,0.95391,1.23482,1.11274 | 1.1125 | 1.1126
anchor_high,371513,0,0,0.0,float:371513,>2000,0.95465,1.23494,1.11284 | 1.11287 | 1.1127
anchor_low,371513,0,0,0.0,float:371513,>2000,0.95357,1.23448,1.11253 | 1.1125 | 1.11252
anchor_open,371513,0,0,0.0,float:371513,>2000,0.95392,1.23482,1.11263 | 1.11284 | 1.11252
anchor_timeframe,371513,0,0,0.0,str:371513,1,,,M5 | M5 | M5
bar_timestamp,371513,0,0,0.0,str:371513,>2000,,,2020-01-14T23:00:00Z | 2020-01-14T23:00:00Z | 2020-01-14T23:00:00Z
current_price,371513,0,0,0.0,float:371513,>2000,0.95392,1.23482,1.11284 | 1.11252 | 1.1126
ema_20,371513,0,0,0.0,float:371513,>2000,0.9574,1.23195,1.11291 | 1.11291 | 1.11291
ema_200,371513,0,0,0.0,float:371513,>2000,0.97537,1.2266,1.11349 | 1.11349 | 1.11349
ema_50,371513,0,0,0.0,float:371513,>2000,0.96095,1.23058,1.11276 | 1.11276 | 1.11276
features.D1.age_minutes,371513,0,0,0.0,float:371513,288,0.0,1435.0,0.0 | 5.0 | 10.0
features.D1.alignment_status,371513,0,0,0.0,str:371513,1,,,ok | ok | ok
features.D1.alignment_warning,371513,0,371513,1.0,null:371513,0,,,
features.D1.anchor_ibar_shift,371513,0,0,0.0,int:371513,2,0.0,1.0,0 | 0 | 0
features.D1.bar_close_timestamp,371513,0,0,0.0,str:371513,1443,,,2020-01-15T00:00:00 | 2020-01-15T00:00:00 | 2020-01-15T00:00:00
features.D1.bar_timestamp,371513,0,0,0.0,str:371513,1443,,,2020-01-14T00:00:00 | 2020-01-14T00:00:00 | 2020-01-14T00:00:00
features.D1.bars_available,371513,0,0,0.0,int:371513,1624,269.0,1892.0,269 | 269 | 269
features.D1.candle_pattern,371513,0,0,0.0,str:371513,4,,,none | none | none
features.D1.copied_array_size,371513,0,0,0.0,int:371513,1,48.0,48.0,48 | 48 | 48
features.D1.data_source_status,371513,0,0,0.0,str:371513,1,,,OK | OK | OK
features.D1.ema_20,371513,0,0,0.0,float:371513,1443,0.98052279,1.22048002,1.11296504 | 1.11296504 | 1.11296504
features.D1.ema_200,371513,0,0,0.0,float:371513,1443,1.0384766,1.19394595,1.11412626 | 1.11412626 | 1.11412626
features.D1.ema_50,371513,0,0,0.0,float:371513,1443,0.99103775,1.21107032,1.11061344 | 1.11061344 | 1.11061344
features.D1.market_structure,371513,0,0,0.0,str:371513,3,,,breakout | breakout | breakout
features.D1.newest_bar_time,371513,0,0,0.0,str:371513,1624,,,2020-01-15T00:00:00 | 2020-01-15T00:00:00 | 2020-01-15T00:00:00
features.D1.oldest_bar_time,371513,0,0,0.0,str:371513,1,,,2019-01-02T00:00:00 | 2019-01-02T00:00:00 | 2019-01-02T00:00:00
features.D1.rates_array_as_series,371513,0,0,0.0,bool:371513,1,,,False | False | False
features.D1.recent_range,371513,0,0,0.0,float:371513,913,0.00704,0.06791,0.01125 | 0.01125 | 0.01125
features.D1.rsi_14,371513,0,0,0.0,float:371513,1227,21.58,81.49,50.74 | 50.74 | 50.74
features.D1.selected_array_index,371513,0,0,0.0,int:371513,1,47.0,47.0,47 | 47 | 47
features.D1.selected_shift,371513,0,0,0.0,int:371513,2,1.0,2.0,1 | 1 | 1
features.D1.structure_direction,371513,0,0,0.0,str:371513,3,,,bearish | bearish | bearish
features.H1.age_minutes,371513,0,0,0.0,float:371513,12,0.0,55.0,0.0 | 5.0 | 10.0
features.H1.alignment_status,371513,0,0,0.0,str:371513,1,,,ok | ok | ok
features.H1.alignment_warning,371513,0,371513,1.0,null:371513,0,,,
features.H1.anchor_ibar_shift,371513,0,0,0.0,int:371513,2,0.0,1.0,0 | 0 | 0
features.H1.bar_close_timestamp,371513,0,0,0.0,str:371513,>2000,,,2020-01-15T00:00:00 | 2020-01-15T00:00:00 | 2020-01-15T00:00:00
features.H1.bar_timestamp,371513,0,0,0.0,str:371513,>2000,,,2020-01-14T23:00:00 | 2020-01-14T23:00:00 | 2020-01-14T23:00:00
features.H1.bars_available,371513,0,0,0.0,int:371513,>2000,6407.0,45256.0,6407 | 6407 | 6407
features.H1.candle_pattern,371513,0,0,0.0,str:371513,4,,,bearish_engulfing | bearish_engulfing | bearish_engulfing
features.H1.copied_array_size,371513,0,0,0.0,int:371513,1,48.0,48.0,48 | 48 | 48
features.H1.data_source_status,371513,0,0,0.0,str:371513,1,,,OK | OK | OK
features.H1.ema_20,371513,0,0,0.0,float:371513,>2000,0.95739862,1.23194548,1.1129057 | 1.1129057 | 1.1129057
features.H1.ema_200,371513,0,0,0.0,float:371513,>2000,0.97536908,1.22660122,1.11348821 | 1.11348821 | 1.11348821
features.H1.ema_50,371513,0,0,0.0,float:371513,>2000,0.96094915,1.23058471,1.11275797 | 1.11275797 | 1.11275797
