fold,model_name,train_rows,test_rows,test_start,test_end,accuracy,precision_macro,recall_macro,f1_macro
1,baseline_tree,74269,18567,2025-04-14 16:40:00+00:00,2025-07-14 21:45:00+00:00,0.3765282490440028,0.3814697906075459,0.36517214443994567,0.3560061253209668
1,random_forest,74269,18567,2025-04-14 16:40:00+00:00,2025-07-14 21:45:00+00:00,0.3864921635159153,0.3896053322768986,0.37436614767158355,0.3659327535763492
2,baseline_tree,92836,18567,2025-07-14 21:50:00+00:00,2025-10-13 09:55:00+00:00,0.40685086443690416,0.39654722401673653,0.396225146795162,0.39156162956612944
2,random_forest,92836,18567,2025-07-14 21:50:00+00:00,2025-10-13 09:55:00+00:00,0.40313459363386656,0.39573619452555014,0.3970086387329282,0.39393848782502117
3,baseline_tree,111403,18567,2025-10-13 10:00:00+00:00,2026-01-14 02:55:00+00:00,0.45882479668228576,0.4041885601750015,0.39689747370811235,0.3911215395872865
3,random_forest,111403,18567,2025-10-13 10:00:00+00:00,2026-01-14 02:55:00+00:00,0.44304411051866216,0.39665183577334573,0.3945363103123068,0.39249332826410166
4,baseline_tree,129970,18567,2026-01-14 03:00:00+00:00,2026-04-14 22:40:00+00:00,0.38923897237033445,0.3881580899860088,0.3893207210863378,0.37820469819969776
4,random_forest,129970,18567,2026-01-14 03:00:00+00:00,2026-04-14 22:40:00+00:00,0.3955404750363548,0.39529604061514156,0.3928337267425585,0.39363360888361904
