version,model_name,accuracy,f1_macro,walk_forward_f1_mean,walk_forward_f1_std
Baltasar v1.1,baseline_tree,0.3933415536374846,0.306621227888016,0.312845757723348,0.0243325745710744
Baltasar v1.1,random_forest,0.3898479243732018,0.3886199385190519,0.3251076640405242,0.0611219508955261
Baltasar v1.2,baseline_tree,0.4253736367308469,0.39063854424668604,0.37922349816852013,0.014438466256030551
Baltasar v1.2,random_forest,0.4196176114177999,0.4014176766864503,0.38649954463727276,0.011886453267590722
