label,precision,recall,f1,support
SELL,0.13993610223642172,0.7411167512690355,0.23542058586401504,591
NEUTRAL,0.8040201005025126,0.1346045989904655,0.23060293057890943,3566
BUY,0.15526315789473685,0.24929577464788732,0.19135135135135134,710
