label,precision,recall,f1,support
SELL,0.3023255813953488,0.010788381742738589,0.020833333333333332,1205
NEUTRAL,0.5675057208237986,0.4250214224507284,0.48603625673689366,2334
BUY,0.29560975609756096,0.6850037678975132,0.412994093593821,1327
