scenario_name,target_name,feature_variant,model_name,rows,feature_count,accuracy,precision_macro,recall_macro,f1_macro,walk_forward_f1_mean,walk_forward_f1_std,walk_forward_accuracy_mean
candidate_target_compact_features,h18_t05,compact,random_forest,24327,16,0.3898479243732018,0.4167012005744594,0.40903142045806873,0.3886199385190519,0.32510766404052427,0.06112195089552616,0.36122985859914497
candidate_target_compact_features,h18_t05,compact,baseline_tree,24327,16,0.3933415536374846,0.3884803527722361,0.3736045240303267,0.306621227888016,0.31284575772334805,0.024332574571074437,0.3624630055902664
candidate_target_current_features,h18_t05,current,baseline_tree,24327,21,0.38224414303329224,0.3916542653643369,0.38859839806250185,0.36315219414309435,0.28709897852847965,0.0315098623184986,0.3322920092074975
candidate_target_current_features,h18_t05,current,random_forest,24327,21,0.3088779284833539,0.37394508199748633,0.3661365199975067,0.2915617404597794,0.28564099286981626,0.033538672672376986,0.31897402170338707
current_target_current_features,h12_t08,current,random_forest,24333,21,0.22498459009656874,0.36640645354455703,0.37500570830246277,0.21912495593142525,0.24492486215515025,0.03818574289770537,0.30721802038803026
current_target_current_features,h12_t08,current,baseline_tree,24333,21,0.22272447092664885,0.3921208843377486,0.39139595563791,0.22155622055646743,0.22495334249596005,0.026552629522985892,0.2704702400526143
