variant,threshold,quarter,rows,trades,coverage,trade_precision,buy_precision,sell_precision,avg_r,total_r,profit_factor,max_drawdown_r,prediction_distribution,target_distribution,low_sample
rich_policy_light,0.40,2026Q2,2294,609,0.265475,0.205255,0.0,0.206954,-0.155846,-94.91,0.751577,143.73,"{""DO_NOTHING"": 1685, ""ENTER_BUY"": 5, ""ENTER_SELL"": 604}","{""DO_NOTHING"": 1283, ""ENTER_BUY"": 692, ""ENTER_SELL"": 319}",False
rich_policy_medium,0.40,2024Q1,14657,2755,0.187965,0.251543,0.23779,0.262948,0.038399,105.79,1.066518,295.84,"{""DO_NOTHING"": 11902, ""ENTER_BUY"": 1249, ""ENTER_SELL"": 1506}","{""DO_NOTHING"": 10616, ""ENTER_BUY"": 1838, ""ENTER_SELL"": 2203}",False
rich_policy_medium,0.40,2024Q2,14989,2613,0.174328,0.213165,0.23523,0.160156,0.047382,123.81,1.087932,270.64,"{""DO_NOTHING"": 12376, ""ENTER_BUY"": 1845, ""ENTER_SELL"": 768}","{""DO_NOTHING"": 11119, ""ENTER_BUY"": 1910, ""ENTER_SELL"": 1960}",False
rich_policy_medium,0.40,2024Q3,14801,1907,0.128843,0.188254,0.195697,0.180451,0.023608,45.02,1.046021,290.64,"{""DO_NOTHING"": 12894, ""ENTER_BUY"": 976, ""ENTER_SELL"": 931}","{""DO_NOTHING"": 11126, ""ENTER_BUY"": 1944, ""ENTER_SELL"": 1731}",False
rich_policy_medium,0.40,2024Q4,14931,4150,0.277945,0.271325,0.271624,0.270806,0.086858,360.46,1.1563,283.61,"{""DO_NOTHING"": 10781, ""ENTER_BUY"": 2636, ""ENTER_SELL"": 1514}","{""DO_NOTHING"": 9589, ""ENTER_BUY"": 2456, ""ENTER_SELL"": 2886}",False
rich_policy_medium,0.40,2025Q1,14033,4028,0.287038,0.272344,0.277402,0.262463,0.036316,146.28,1.061881,197.69,"{""DO_NOTHING"": 10005, ""ENTER_BUY"": 2664, ""ENTER_SELL"": 1364}","{""DO_NOTHING"": 8014, ""ENTER_BUY"": 2997, ""ENTER_SELL"": 3022}",False
rich_policy_medium,0.40,2025Q2,14977,4563,0.304667,0.331361,0.40039,0.2749,0.05748,262.28,1.09145,266.14,"{""DO_NOTHING"": 10414, ""ENTER_BUY"": 2053, ""ENTER_SELL"": 2510}","{""DO_NOTHING"": 6935, ""ENTER_BUY"": 4443, ""ENTER_SELL"": 3599}",False
rich_policy_medium,0.40,2025Q3,15034,4105,0.273048,0.304019,0.276031,0.313249,0.115469,474.0,1.20098,255.74,"{""DO_NOTHING"": 10929, ""ENTER_BUY"": 1018, ""ENTER_SELL"": 3087}","{""DO_NOTHING"": 8829, ""ENTER_BUY"": 2783, ""ENTER_SELL"": 3422}",False
rich_policy_medium,0.40,2025Q4,14637,3005,0.205302,0.281531,0.290076,0.279726,0.219564,659.79,1.449543,101.57,"{""DO_NOTHING"": 11632, ""ENTER_BUY"": 524, ""ENTER_SELL"": 2481}","{""DO_NOTHING"": 10266, ""ENTER_BUY"": 2193, ""ENTER_SELL"": 2178}",False
rich_policy_medium,0.40,2026Q1,14016,3807,0.271618,0.287103,0.269985,0.296252,0.090428,344.26,1.159589,145.87,"{""DO_NOTHING"": 10209, ""ENTER_BUY"": 1326, ""ENTER_SELL"": 2481}","{""DO_NOTHING"": 8447, ""ENTER_BUY"": 2498, ""ENTER_SELL"": 3071}",False
