feature,importance
categorical__regime_asia|h4_bullish|d1_bearish|align_neutral|atr_normal|d1pos_mid_high,0.0
categorical__regime_asia|h4_bullish|d1_bullish|align_aligned|atr_extended|d1pos_low,0.0
categorical__regime_asia|h4_bullish|d1_bullish|align_aligned|atr_extended|d1pos_mid_high,0.0
categorical__regime_asia|h4_bullish|d1_bullish|align_aligned|atr_low|d1pos_high,0.0
categorical__regime_asia|h4_bullish|d1_bullish|align_aligned|atr_normal|d1pos_mid_low,0.0
categorical__regime_asia|h4_bullish|d1_range|align_neutral|atr_extended|d1pos_mid_high,0.0
categorical__regime_asia|h4_bullish|d1_range|align_neutral|atr_low|d1pos_high,0.0
categorical__regime_asia|h4_bullish|d1_range|align_neutral|atr_low|d1pos_low,0.0
categorical__regime_asia|h4_range|d1_bearish|align_aligned|atr_extended|d1pos_high,0.0
categorical__regime_asia|h4_range|d1_bearish|align_aligned|atr_low|d1pos_low,0.0
categorical__regime_asia|h4_range|d1_bullish|align_aligned|atr_low|d1pos_high,0.0
categorical__regime_asia|h4_range|d1_bullish|align_aligned|atr_low|d1pos_mid_high,0.0
categorical__regime_asia|h4_range|d1_bullish|align_aligned|atr_normal|d1pos_low,0.0
categorical__regime_asia|h4_range|d1_range|align_neutral|atr_low|d1pos_high,0.0
categorical__regime_inactive|h4_bearish|d1_bearish|align_aligned|atr_extended|d1pos_mid_high,0.0
categorical__regime_inactive|h4_bearish|d1_bearish|align_aligned|atr_extended|d1pos_mid_low,0.0
categorical__regime_inactive|h4_bearish|d1_bearish|align_aligned|atr_normal|d1pos_mid_high,0.0
categorical__regime_inactive|h4_bearish|d1_bearish|align_aligned|atr_normal|d1pos_mid_low,0.0
categorical__regime_inactive|h4_bearish|d1_bullish|align_neutral|atr_extended|d1pos_low,0.0
categorical__regime_inactive|h4_bearish|d1_bullish|align_neutral|atr_extended|d1pos_mid_low,0.0
categorical__regime_inactive|h4_bearish|d1_bullish|align_neutral|atr_normal|d1pos_high,0.0
categorical__regime_inactive|h4_bearish|d1_bullish|align_neutral|atr_normal|d1pos_low,0.0
categorical__regime_inactive|h4_bearish|d1_bullish|align_neutral|atr_normal|d1pos_mid_high,0.0
categorical__regime_inactive|h4_bearish|d1_bullish|align_neutral|atr_normal|d1pos_mid_low,0.0
categorical__regime_inactive|h4_bearish|d1_range|align_neutral|atr_normal|d1pos_high,0.0
categorical__regime_inactive|h4_bullish|d1_bearish|align_neutral|atr_extended|d1pos_high,0.0
categorical__regime_inactive|h4_bullish|d1_bearish|align_neutral|atr_extended|d1pos_low,0.0
categorical__regime_inactive|h4_bullish|d1_bearish|align_neutral|atr_extended|d1pos_mid_high,0.0
categorical__regime_inactive|h4_bullish|d1_bearish|align_neutral|atr_extended|d1pos_mid_low,0.0
categorical__regime_inactive|h4_bullish|d1_bearish|align_neutral|atr_low|d1pos_mid_low,0.0
categorical__regime_inactive|h4_bullish|d1_bearish|align_neutral|atr_normal|d1pos_high,0.0
categorical__regime_inactive|h4_bullish|d1_bearish|align_neutral|atr_normal|d1pos_low,0.0
categorical__regime_inactive|h4_bullish|d1_bearish|align_neutral|atr_normal|d1pos_mid_high,0.0
categorical__regime_inactive|h4_bullish|d1_bearish|align_neutral|atr_normal|d1pos_mid_low,0.0
categorical__regime_inactive|h4_bullish|d1_bullish|align_aligned|atr_extended|d1pos_mid_high,0.0
categorical__regime_inactive|h4_bullish|d1_bullish|align_aligned|atr_extended|d1pos_mid_low,0.0
categorical__regime_inactive|h4_bullish|d1_bullish|align_aligned|atr_low|d1pos_high,0.0
categorical__regime_inactive|h4_bullish|d1_bullish|align_aligned|atr_normal|d1pos_high,0.0
categorical__regime_inactive|h4_bullish|d1_bullish|align_aligned|atr_normal|d1pos_low,0.0
categorical__regime_inactive|h4_bullish|d1_bullish|align_aligned|atr_normal|d1pos_mid_high,0.0
categorical__regime_inactive|h4_bullish|d1_bullish|align_aligned|atr_normal|d1pos_mid_low,0.0
categorical__regime_inactive|h4_bullish|d1_range|align_neutral|atr_low|d1pos_high,0.0
categorical__regime_inactive|h4_bullish|d1_range|align_neutral|atr_low|d1pos_mid_high,0.0
categorical__regime_inactive|h4_bullish|d1_range|align_neutral|atr_low|d1pos_mid_low,0.0
categorical__regime_inactive|h4_bullish|d1_range|align_neutral|atr_normal|d1pos_low,0.0
categorical__regime_inactive|h4_bullish|d1_range|align_neutral|atr_normal|d1pos_mid_high,0.0
categorical__regime_inactive|h4_range|d1_bearish|align_aligned|atr_extended|d1pos_high,0.0
categorical__regime_inactive|h4_range|d1_bearish|align_aligned|atr_extended|d1pos_mid_high,0.0
categorical__regime_inactive|h4_range|d1_bearish|align_aligned|atr_low|d1pos_low,0.0
categorical__regime_inactive|h4_range|d1_bearish|align_aligned|atr_low|d1pos_mid_low,0.0
categorical__regime_inactive|h4_range|d1_bearish|align_aligned|atr_normal|d1pos_high,0.0
categorical__regime_inactive|h4_range|d1_bearish|align_aligned|atr_normal|d1pos_mid_low,0.0
categorical__regime_inactive|h4_range|d1_bullish|align_aligned|atr_low|d1pos_mid_high,0.0
categorical__regime_inactive|h4_range|d1_bullish|align_aligned|atr_low|d1pos_mid_low,0.0
categorical__regime_inactive|h4_range|d1_bullish|align_aligned|atr_normal|d1pos_low,0.0
categorical__regime_inactive|h4_range|d1_bullish|align_aligned|atr_normal|d1pos_mid_high,0.0
categorical__regime_inactive|h4_range|d1_bullish|align_aligned|atr_normal|d1pos_mid_low,0.0
categorical__regime_inactive|h4_range|d1_range|align_neutral|atr_low|d1pos_high,0.0
categorical__regime_inactive|h4_range|d1_range|align_neutral|atr_low|d1pos_low,0.0
categorical__regime_inactive|h4_range|d1_range|align_neutral|atr_low|d1pos_mid_high,0.0
categorical__regime_inactive|h4_range|d1_range|align_neutral|atr_low|d1pos_mid_low,0.0
categorical__regime_london|h4_bearish|d1_bearish|align_aligned|atr_extended|d1pos_mid_low,0.0
categorical__regime_london|h4_bearish|d1_bearish|align_aligned|atr_normal|d1pos_high,0.0
categorical__regime_london|h4_bearish|d1_bearish|align_aligned|atr_normal|d1pos_mid_high,0.0
categorical__regime_london|h4_bearish|d1_bearish|align_aligned|atr_normal|d1pos_mid_low,0.0
categorical__regime_london|h4_bearish|d1_bullish|align_neutral|atr_extended|d1pos_low,0.0
categorical__regime_london|h4_bearish|d1_bullish|align_neutral|atr_normal|d1pos_low,0.0
categorical__regime_london|h4_bearish|d1_bullish|align_neutral|atr_normal|d1pos_mid_high,0.0
categorical__regime_london|h4_bearish|d1_bullish|align_neutral|atr_normal|d1pos_mid_low,0.0
categorical__regime_london|h4_bearish|d1_range|align_neutral|atr_low|d1pos_low,0.0
categorical__regime_london|h4_bearish|d1_range|align_neutral|atr_low|d1pos_mid_low,0.0
categorical__regime_london|h4_bearish|d1_range|align_neutral|atr_normal|d1pos_mid_high,0.0
categorical__regime_london|h4_bullish|d1_bearish|align_neutral|atr_extended|d1pos_mid_high,0.0
categorical__regime_london|h4_bullish|d1_bearish|align_neutral|atr_low|d1pos_low,0.0
categorical__regime_london|h4_bullish|d1_bearish|align_neutral|atr_normal|d1pos_high,0.0
categorical__regime_london|h4_bullish|d1_bearish|align_neutral|atr_normal|d1pos_mid_high,0.0
categorical__regime_london|h4_bullish|d1_bearish|align_neutral|atr_normal|d1pos_mid_low,0.0
categorical__regime_london|h4_bullish|d1_bullish|align_aligned|atr_extended|d1pos_low,0.0
categorical__regime_london|h4_bullish|d1_bullish|align_aligned|atr_extended|d1pos_mid_high,0.0
categorical__regime_london|h4_bullish|d1_bullish|align_aligned|atr_low|d1pos_high,0.0
categorical__regime_london|h4_bullish|d1_bullish|align_aligned|atr_normal|d1pos_mid_high,0.0
categorical__regime_london|h4_bullish|d1_bullish|align_aligned|atr_normal|d1pos_mid_low,0.0
categorical__regime_london|h4_bullish|d1_range|align_neutral|atr_low|d1pos_high,0.0
categorical__regime_london|h4_bullish|d1_range|align_neutral|atr_low|d1pos_low,0.0
categorical__regime_london|h4_bullish|d1_range|align_neutral|atr_low|d1pos_mid_low,0.0
categorical__regime_london|h4_bullish|d1_range|align_neutral|atr_normal|d1pos_low,0.0
categorical__regime_london|h4_range|d1_bearish|align_aligned|atr_extended|d1pos_high,0.0
categorical__regime_london|h4_range|d1_bearish|align_aligned|atr_low|d1pos_low,0.0
categorical__regime_london|h4_range|d1_bearish|align_aligned|atr_low|d1pos_mid_low,0.0
categorical__regime_london|h4_range|d1_bearish|align_aligned|atr_normal|d1pos_high,0.0
categorical__regime_london|h4_range|d1_bullish|align_aligned|atr_low|d1pos_mid_high,0.0
categorical__regime_london|h4_range|d1_bullish|align_aligned|atr_normal|d1pos_low,0.0
categorical__regime_london|h4_range|d1_range|align_neutral|atr_low|d1pos_mid_low,0.0
categorical__regime_new_york|h4_bearish|d1_bearish|align_aligned|atr_extended|d1pos_mid_high,0.0
categorical__regime_new_york|h4_bearish|d1_bearish|align_aligned|atr_normal|d1pos_high,0.0
categorical__regime_new_york|h4_bearish|d1_bearish|align_aligned|atr_normal|d1pos_mid_high,0.0
categorical__regime_new_york|h4_bearish|d1_bearish|align_aligned|atr_normal|d1pos_mid_low,0.0
categorical__regime_new_york|h4_bearish|d1_bullish|align_neutral|atr_low|d1pos_mid_high,0.0
categorical__regime_new_york|h4_bearish|d1_bullish|align_neutral|atr_low|d1pos_mid_low,0.0
categorical__regime_new_york|h4_bearish|d1_bullish|align_neutral|atr_normal|d1pos_low,0.0
categorical__regime_new_york|h4_bearish|d1_bullish|align_neutral|atr_normal|d1pos_mid_low,0.0
categorical__regime_new_york|h4_bearish|d1_range|align_neutral|atr_low|d1pos_high,0.0
categorical__regime_new_york|h4_bearish|d1_range|align_neutral|atr_low|d1pos_mid_low,0.0
categorical__regime_new_york|h4_bullish|d1_bearish|align_neutral|atr_extended|d1pos_mid_high,0.0
categorical__regime_new_york|h4_bullish|d1_bearish|align_neutral|atr_low|d1pos_mid_low,0.0
categorical__regime_new_york|h4_bullish|d1_bearish|align_neutral|atr_normal|d1pos_low,0.0
categorical__regime_new_york|h4_bullish|d1_bearish|align_neutral|atr_normal|d1pos_mid_low,0.0
categorical__regime_new_york|h4_bullish|d1_bullish|align_aligned|atr_extended|d1pos_mid_low,0.0
categorical__regime_new_york|h4_bullish|d1_bullish|align_aligned|atr_low|d1pos_high,0.0
categorical__regime_new_york|h4_bullish|d1_bullish|align_aligned|atr_normal|d1pos_low,0.0
categorical__regime_new_york|h4_bullish|d1_bullish|align_aligned|atr_normal|d1pos_mid_high,0.0
categorical__regime_new_york|h4_bullish|d1_range|align_neutral|atr_low|d1pos_high,0.0
categorical__regime_new_york|h4_bullish|d1_range|align_neutral|atr_low|d1pos_low,0.0
categorical__regime_new_york|h4_bullish|d1_range|align_neutral|atr_low|d1pos_mid_high,0.0
categorical__regime_new_york|h4_bullish|d1_range|align_neutral|atr_low|d1pos_mid_low,0.0
categorical__regime_new_york|h4_range|d1_bearish|align_aligned|atr_extended|d1pos_high,0.0
categorical__regime_new_york|h4_range|d1_bearish|align_aligned|atr_low|d1pos_low,0.0
categorical__regime_new_york|h4_range|d1_bearish|align_aligned|atr_low|d1pos_mid_low,0.0
categorical__regime_new_york|h4_range|d1_bullish|align_aligned|atr_low|d1pos_high,0.0
categorical__regime_new_york|h4_range|d1_bullish|align_aligned|atr_low|d1pos_mid_high,0.0
categorical__regime_new_york|h4_range|d1_bullish|align_aligned|atr_low|d1pos_mid_low,0.0
categorical__regime_new_york|h4_range|d1_bullish|align_aligned|atr_normal|d1pos_low,0.0
categorical__regime_new_york|h4_range|d1_range|align_neutral|atr_low|d1pos_high,0.0
categorical__regime_overlap|h4_bearish|d1_bearish|align_aligned|atr_extended|d1pos_mid_high,0.0
categorical__regime_overlap|h4_bearish|d1_bearish|align_aligned|atr_extended|d1pos_mid_low,0.0
categorical__regime_overlap|h4_bearish|d1_bearish|align_aligned|atr_normal|d1pos_high,0.0
categorical__regime_overlap|h4_bearish|d1_bearish|align_aligned|atr_normal|d1pos_mid_high,0.0
categorical__regime_overlap|h4_bearish|d1_bullish|align_neutral|atr_extended|d1pos_low,0.0
categorical__regime_overlap|h4_bearish|d1_bullish|align_neutral|atr_extended|d1pos_mid_low,0.0
categorical__regime_overlap|h4_bearish|d1_bullish|align_neutral|atr_low|d1pos_mid_high,0.0
categorical__regime_overlap|h4_bearish|d1_bullish|align_neutral|atr_low|d1pos_mid_low,0.0
categorical__regime_overlap|h4_bearish|d1_bullish|align_neutral|atr_normal|d1pos_low,0.0
categorical__regime_overlap|h4_bearish|d1_bullish|align_neutral|atr_normal|d1pos_mid_high,0.0
categorical__regime_overlap|h4_bearish|d1_bullish|align_neutral|atr_normal|d1pos_mid_low,0.0
categorical__regime_overlap|h4_bearish|d1_range|align_neutral|atr_low|d1pos_low,0.0
categorical__regime_overlap|h4_bearish|d1_range|align_neutral|atr_low|d1pos_mid_low,0.0
categorical__regime_overlap|h4_bullish|d1_bearish|align_neutral|atr_extended|d1pos_high,0.0
categorical__regime_overlap|h4_bullish|d1_bearish|align_neutral|atr_extended|d1pos_mid_high,0.0
categorical__regime_overlap|h4_bullish|d1_bearish|align_neutral|atr_extended|d1pos_mid_low,0.0
categorical__regime_overlap|h4_bullish|d1_bearish|align_neutral|atr_low|d1pos_mid_low,0.0
categorical__regime_overlap|h4_bullish|d1_bearish|align_neutral|atr_normal|d1pos_high,0.0
categorical__regime_overlap|h4_bullish|d1_bullish|align_aligned|atr_extended|d1pos_mid_high,0.0
categorical__regime_overlap|h4_bullish|d1_bullish|align_aligned|atr_extended|d1pos_mid_low,0.0
categorical__regime_overlap|h4_bullish|d1_bullish|align_aligned|atr_normal|d1pos_mid_high,0.0
categorical__regime_overlap|h4_bullish|d1_bullish|align_aligned|atr_normal|d1pos_mid_low,0.0
categorical__regime_overlap|h4_bullish|d1_range|align_neutral|atr_low|d1pos_high,0.0
categorical__regime_overlap|h4_bullish|d1_range|align_neutral|atr_low|d1pos_low,0.0
categorical__regime_overlap|h4_bullish|d1_range|align_neutral|atr_low|d1pos_mid_high,0.0
categorical__regime_overlap|h4_range|d1_bearish|align_aligned|atr_extended|d1pos_high,0.0
categorical__regime_overlap|h4_range|d1_bearish|align_aligned|atr_low|d1pos_low,0.0
categorical__regime_overlap|h4_range|d1_bearish|align_aligned|atr_low|d1pos_mid_low,0.0
categorical__regime_overlap|h4_range|d1_bearish|align_aligned|atr_normal|d1pos_high,0.0
categorical__regime_overlap|h4_range|d1_bullish|align_aligned|atr_low|d1pos_high,0.0
categorical__regime_overlap|h4_range|d1_bullish|align_aligned|atr_normal|d1pos_low,0.0
categorical__regime_overlap|h4_range|d1_range|align_neutral|atr_low|d1pos_high,0.0
categorical__regime_overlap|h4_range|d1_range|align_neutral|atr_low|d1pos_mid_high,0.0
categorical__melchor_risk_flags_MEDIUM,0.0
numeric__melchor_confidence,0.0
