feature,importance
categorical__regime_inactive|h4_range|d1_range|align_neutral|atr_extended|d1pos_low,0.0005392573
categorical__regime_new_york|h4_range|d1_bullish|align_aligned|atr_extended|d1pos_high,0.0005341528
categorical__regime_overlap|h4_bullish|d1_range|align_neutral|atr_extended|d1pos_high,0.0005054312
categorical__regime_asia|h4_bearish|d1_range|align_neutral|atr_extended|d1pos_low,0.0004978713
categorical__regime_overlap|h4_range|d1_range|align_neutral|atr_extended|d1pos_mid_high,0.0004943774
categorical__regime_inactive|h4_range|d1_bullish|align_aligned|atr_extended|d1pos_high,0.0004879205
categorical__regime_london|h4_range|d1_bullish|align_aligned|atr_extended|d1pos_high,0.0004840811
categorical__regime_asia|h4_range|d1_range|align_neutral|atr_low|d1pos_mid_high,0.0004830242
categorical__regime_asia|h4_range|d1_bullish|align_aligned|atr_extended|d1pos_mid_low,0.0004823124
categorical__regime_new_york|h4_range|d1_range|align_neutral|atr_extended|d1pos_mid_high,0.0004776973
categorical__regime_asia|h4_bearish|d1_bearish|align_aligned|atr_extended|d1pos_low,0.0004731282
categorical__regime_inactive|h4_bullish|d1_bullish|align_aligned|atr_extended|d1pos_high,0.0004636626
categorical__regime_new_york|h4_bearish|d1_bearish|align_aligned|atr_normal|d1pos_low,0.0004605703
categorical__regime_asia|h4_range|d1_bullish|align_aligned|atr_extended|d1pos_low,0.0004565406
categorical__regime_asia|h4_range|d1_bearish|align_aligned|atr_extended|d1pos_mid_low,0.0004393095
categorical__regime_asia|h4_bullish|d1_range|align_neutral|atr_normal|d1pos_high,0.0004357731
categorical__regime_london|h4_range|d1_range|align_neutral|atr_extended|d1pos_mid_low,0.0004271456
categorical__regime_inactive|h4_range|d1_range|align_neutral|atr_extended|d1pos_mid_low,0.0004235885
categorical__regime_new_york|h4_bearish|d1_bullish|align_neutral|atr_extended|d1pos_high,0.0004114836
categorical__regime_overlap|h4_bullish|d1_range|align_neutral|atr_extended|d1pos_mid_high,0.0003948746
categorical__regime_new_york|h4_range|d1_range|align_neutral|atr_normal|d1pos_high,0.0003920411
categorical__regime_inactive|h4_bullish|d1_range|align_neutral|atr_normal|d1pos_high,0.0003853751
categorical__regime_london|h4_range|d1_range|align_neutral|atr_extended|d1pos_low,0.0003811903
categorical__regime_asia|h4_bullish|d1_bearish|align_neutral|atr_extended|d1pos_mid_low,0.0003668833
categorical__regime_london|h4_range|d1_range|align_neutral|atr_normal|d1pos_high,0.0003620019
categorical__regime_new_york|h4_bullish|d1_range|align_neutral|atr_normal|d1pos_mid_low,0.00036165
categorical__regime_asia|h4_bullish|d1_range|align_neutral|atr_extended|d1pos_high,0.0003503382
categorical__regime_inactive|h4_bearish|d1_range|align_neutral|atr_extended|d1pos_low,0.0003447137
